Sl. No,Polling Station No,R R. A M K U D K M A D Y A H,S I. H P T S R B O O M,maraganneP C I. A K R S U M D D A N N A,lareneG R N. A G A K H T Z N A L I M,s K G. K I. M N P A M,ot av dil K A. M L I N K M A H S,limaT etov s V I. A R D U N D I A N N A,udaN af N M. A G D N N I I L A V I,evitalsigeL ruov o f K N. A D M N U I R A H D,P N. A G U D R N U I M U R I,A N. A P P A J D N N A I N A Y I,G K. D I. N N I A M,P I. D N N A I M,S Y. M D A S N U I N U M,s e t o V d ali V al t o T,s e t o V d e t c e j e R f o o.,n o ti p o A T O N r o f s e,s e t o V al t o T,s e t o V d e r e d n e T f o o.,Total Valid Votes
36,31,350,9,0,1,67,350,5,1,0,0,3,6,0,0,0,792,0,6,798,0
37,32M,174,15,0,1,18,319,4,0,0,0,1,1,0,0,0,533,0,2,535,0
38,32A(W),178,4,0,2,10,284,4,0,0,2,1,14,1,0,0,500,0,2,502,0
39,33,402,36,1,0,56,248,6,1,0,1,1,8,0,0,6,766,0,10,776,0
40,34,323,8,0,1,69,390,4,0,1,1,0,12,1,0,0,810,0,7,817,0
41,35,239,16,1,0,26,468,4,0,0,0,3,8,2,1,1,769,0,5,774,0
42,36,313,4,0,0,83,430,1,0,1,0,2,11,0,0,1,846,0,6,852,0
43,37,432,4,1,0,41,228,5,0,0,0,0,3,0,3,3,720,0,7,727,0
44,38,267,3,0,1,29,431,2,1,0,5,4,11,0,2,2,758,0,11,769,0
45,39,314,4,1,1,32,445,4,2,1,1,0,11,3,0,0,819,0,8,827,0
46,40,280,11,0,1,40,332,3,2,1,1,2,5,0,0,2,680,0,4,684,0
47,41,114,6,2,0,21,329,0,2,1,1,3,6,0,0,0,485,0,8,493,0
48,42,281,9,0,0,16,311,1,0,0,0,0,4,1,0,1,624,0,5,629,0
49,43M,205,8,0,0,35,244,5,0,0,0,0,2,0,0,0,499,0,3,502,0
50,43A(W),198,6,0,1,15,220,6,0,1,0,1,3,1,1,0,453,0,3,456,0
51,44M,183,8,0,0,42,228,5,0,0,0,0,1,0,0,0,467,0,2,469,0
52,44A(W),172,5,1,0,15,228,1,0,0,0,1,8,0,0,0,431,0,2,433,0
53,45,111,12,3,1,42,530,4,0,0,2,1,7,0,0,0,713,0,5,718,0
54,46,267,21,1,1,42,490,7,0,1,0,2,8,2,0,3,845,0,9,854,0
55,47,295,13,1,1,49,498,6,0,0,3,2,9,2,1,0,880,0,6,886,0
56,48M,128,7,0,1,20,336,2,0,0,0,1,0,2,2,1,500,0,4,504,0
57,48A(W),141,2,0,0,12,330,3,0,0,0,2,10,2,1,0,503,0,2,505,0
58,49,211,2,1,1,28,648,7,1,1,2,1,19,1,0,1,924,0,11,935,0
59,50,149,1,0,0,17,206,2,0,0,0,0,1,0,0,0,376,0,1,377,0
60,51,289,11,2,3,50,443,3,1,1,0,9,21,0,1,0,834,0,13,847,0
61,52,269,12,1,0,16,169,6,0,0,1,3,5,0,0,3,485,0,4,489,0
62,53,155,5,0,0,23,223,2,1,0,0,2,5,1,0,0,417,0,3,420,0
63,54M,152,4,1,0,55,266,3,0,0,1,2,1,0,0,0,485,0,3,488,0
64,54A(W),173,0,0,3,23,244,2,1,2,0,4,11,0,1,3,467,0,9,476,0
65,55M,136,11,0,3,43,304,2,0,0,0,0,1,0,0,0,500,0,3,503,0
66,55A(W),161,7,0,1,20,314,3,2,2,0,4,14,0,0,1,529,0,6,535,0
67,56,328,14,0,0,18,236,2,0,0,0,1,4,0,0,0,603,0,7,610,0
68,57,319,2,0,1,54,457,5,1,0,0,0,4,0,0,1,844,0,10,854,0
69,58M,191,0,0,0,22,290,2,0,0,0,0,1,0,0,0,506,0,5,511,0
70,58A(W),211,1,0,0,6,230,3,1,1,1,1,5,2,0,2,464,0,3,467,0
71,59,251,9,1,0,30,432,7,1,0,1,1,7,1,0,1,742,0,10,752,0
72,60,328,2,0,0,23,109,1,0,0,0,0,1,0,1,2,467,0,5,472,0
73,61,373,3,1,0,46,217,1,1,0,0,0,3,0,0,0,645,0,4,649,0
74,62,172,4,1,0,18,424,3,0,0,0,3,4,1,0,0,630,0,4,634,0
75,63M,172,6,2,1,37,360,5,0,0,0,0,6,0,0,0,589,0,3,592,0
76,63A(W),150,4,0,0,10,317,3,1,0,0,0,23,2,1,1,512,0,6,518,0
77,64,244,54,0,1,25,406,6,1,0,1,2,5,0,0,1,746,0,3,749,0
78,65,400,6,1,1,24,41,0,0,0,0,2,2,0,0,2,479,0,8,487,0
79,66,153,4,1,1,25,419,4,3,0,1,2,9,1,0,0,623,0,5,628,0
80,67,293,16,2,1,12,455,2,0,0,0,0,11,2,0,1,795,0,2,797,0
81,68M,189,10,0,0,33,270,0,1,0,0,1,1,0,0,2,507,0,2,509,0
82,68A(W),173,7,0,1,13,264,1,0,0,0,0,2,0,0,0,461,0,4,465,0
83,69,282,7,0,1,48,461,5,2,0,0,1,4,0,1,1,813,0,5,818,0
84,70,304,16,0,0,65,458,14,1,0,2,3,4,2,0,2,871,0,11,882,0
85,71,258,26,0,0,22,431,5,0,1,0,2,2,0,0,1,748,0,3,751,0
86,72,205,5,1,0,26,335,3,1,1,0,2,5,1,1,6,592,0,5,597,0
87,73,259,7,0,0,27,280,5,2,0,0,0,4,0,0,0,584,0,2,586,0
88,74,182,9,0,0,62,309,5,0,0,0,0,0,0,0,0,567,0,5,572,0
89,75,200,7,0,1,53,302,2,0,1,1,1,7,0,0,0,575,0,3,578,0
90,76M,161,12,0,0,32,281,3,1,0,0,1,4,0,0,0,495,0,0,495,0
91,76A(W),183,4,2,3,10,257,0,0,1,0,1,11,0,1,1,474,0,2,476,0
92,77,259,14,1,0,28,328,7,0,0,0,1,5,2,0,1,646,0,9,655,0
93,78,366,22,1,0,22,373,3,0,0,0,1,9,0,2,0,799,0,9,808,0
94,79,236,22,0,2,24,401,1,1,1,0,5,8,0,0,0,701,0,3,704,0
95,80M,146,24,1,1,29,299,2,2,0,1,1,3,0,0,1,510,0,4,514,0
96,80A(W),148,18,0,1,12,247,3,1,3,3,4,8,1,2,0,451,0,6,457,0
97,81M,170,2,0,0,39,277,1,1,0,1,0,2,0,0,0,493,0,7,500,0
98,81A(W),214,4,0,1,17,220,3,1,0,0,0,9,0,0,0,469,0,3,472,0
99,82,261,26,0,1,38,548,3,1,0,0,1,3,1,1,0,884,0,2,886,0
100,83,121,2,0,1,10,303,5,0,0,0,0,0,0,0,0,442,0,0,442,0
101,84,272,11,1,0,22,290,0,0,1,1,0,3,0,1,2,604,0,9,613,0
102,85M,200,7,0,1,28,247,6,0,0,0,0,1,0,0,0,490,0,4,494,0
103,85A(W),193,6,1,0,10,251,6,0,0,0,1,2,0,0,0,470,0,3,473,0
104,86,217,5,2,1,39,287,3,0,1,0,0,2,0,1,1,559,0,1,560,0
105,87M,124,4,1,1,23,283,3,0,0,1,0,3,0,0,0,443,0,2,445,0
106,87A(W),104,2,1,1,10,294,1,0,2,1,3,8,0,1,2,430,0,7,437,0
107,88M,69,5,0,1,30,383,0,0,0,1,1,1,1,0,0,492,0,3,495,0
108,88A(W),60,4,1,0,10,384,3,0,0,0,2,7,0,0,1,472,0,0,472,0
109,89,532,6,0,0,12,159,3,0,0,0,1,2,0,1,0,716,0,3,719,0
110,90,136,3,1,0,10,161,1,1,0,0,1,1,0,0,0,315,0,3,318,0
111,91M,247,7,0,0,29,114,13,0,0,0,0,0,0,0,0,410,0,5,415,0
112,91A(W),261,1,2,0,13,134,10,0,0,0,0,0,0,1,1,423,0,3,426,0
113,92,464,14,1,1,41,191,13,1,0,0,0,3,0,0,2,731,0,7,738,0
114,93,236,13,1,0,29,331,12,1,0,0,1,3,1,1,2,631,0,10,641,0
115,94,399,8,1,0,23,221,17,0,0,0,0,3,0,0,0,672,0,15,687,0
116,95,339,4,1,0,16,131,12,0,0,0,0,3,1,1,0,508,0,5,513,0
117,96M,262,8,0,0,14,207,4,0,1,0,1,0,0,0,0,497,0,2,499,0
118,96A(W),270,4,1,0,10,196,11,1,1,0,0,4,2,1,0,501,0,6,507,0
119,97,424,6,0,0,41,163,32,0,0,0,0,1,0,0,0,667,0,3,670,0
120,98,286,3,0,1,25,173,19,0,0,0,1,0,0,0,0,508,0,4,512,0
121,99,214,20,1,0,12,290,4,1,0,0,0,4,2,0,0,548,0,10,558,0
122,100,129,8,1,0,6,413,4,0,0,1,0,1,2,0,0,565,0,1,566,0
123,101,227,14,0,0,38,514,1,0,0,0,0,9,0,0,0,803,0,3,806,0
124,102,387,19,0,0,34,475,5,1,0,1,1,11,1,0,3,938,0,8,946,0
125,103,263,29,0,0,11,422,1,0,0,0,0,5,0,0,0,731,0,7,738,0
