Sl. No,Polling Station No,A.KALAIVANAN Party India My,K.SIVAKUMAR Katchi Makkal Thannurimai Tamilaga,K.CHINNATHAMBI Of (Athawale) Party Republican India,N.SENGOTTUVELL U Party Socialist Ahimsa,P.NATARAJAN Katchi Tamilar Naam,R.JANAGARAJ Maiam Needhi Makkal,A.ESWARAN Independent,K.ESWARAN Independent,G.ESWARAN Independent,M.ESWARAN Independent,S.KARTHIKEYAN Independent,T.SHANMUGASUND ARAM Independent,C.SATHIESHKUMA R Independent,R.CHANDRA Independent,K.SARAVANAN Independent,M.SARASWATHI Independent,C.SENTHILKUMAR Independent,SELVARAMALINGA JALLIKKATTU M Independent,K.R.SELVARAJ Independent,C.BALAMURUGAN Independent,S.BALAMURUGAN Independent,P.BALAJICHEZHIA N Independent,R.RANJIT Independent,K.VELU Independent,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
1,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
61,50,222,187,1,0,0,1,79,0,5,1,0,0,0,1,1,2,1,0,0,0,0,3,0,1,0,0,0,0,505,0,1,506,0
62,51,294,226,2,1,0,0,32,1,12,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,572,0,5,577,0
63,52M,227,175,0,0,0,0,65,0,7,1,1,0,0,1,1,2,0,4,0,0,0,0,0,1,1,0,0,0,486,0,6,492,0
64,52A(W),222,203,0,2,1,0,30,0,6,1,1,0,1,3,1,3,0,2,0,1,0,0,0,0,0,1,0,0,478,0,0,478,0
65,53,405,315,1,1,0,0,87,1,11,2,0,1,1,1,1,6,0,1,0,1,1,6,0,0,0,0,2,0,844,0,8,852,0
66,54M,278,196,0,1,0,1,45,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,528,0,3,531,0
67,54A(W),285,194,3,4,0,1,16,1,7,0,0,0,0,4,2,9,2,0,0,0,0,0,1,0,0,2,0,1,532,0,1,533,0
68,55,337,316,4,3,0,0,60,0,2,1,0,2,0,3,1,1,0,1,0,0,1,1,0,1,0,0,0,0,734,0,3,737,0
69,56M,277,130,0,0,0,0,60,1,4,2,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,1,480,0,1,481,0
70,56A(W),311,154,3,0,0,0,28,0,3,1,1,0,1,1,1,5,2,0,0,1,0,0,0,0,0,0,0,1,513,0,3,516,0
71,57,355,277,0,1,0,0,54,1,4,1,0,0,0,1,0,0,2,0,1,0,0,2,0,3,0,0,0,0,702,0,3,705,0
72,58,265,411,6,0,0,0,94,0,6,1,0,0,0,1,3,1,0,6,1,1,1,2,1,21,1,0,0,1,823,0,10,833,0
73,59,297,274,2,1,0,0,58,0,5,1,1,0,0,4,0,3,0,1,0,1,0,5,0,21,0,1,0,1,676,0,8,684,0
74,60,290,267,2,0,0,0,40,0,5,3,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,1,614,0,2,616,0
75,61,195,243,2,1,0,0,70,0,3,0,0,0,0,2,1,1,1,1,0,0,0,1,0,41,0,0,0,0,562,0,5,567,0
76,62,206,308,1,0,0,2,52,1,9,0,0,0,0,0,1,0,0,0,0,3,0,2,0,29,0,0,0,0,614,0,2,616,0
77,63M,188,192,1,1,0,0,60,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,2,0,0,0,1,451,0,1,452,0
78,63A(W),187,260,2,0,0,0,34,1,1,0,0,0,0,1,2,2,0,2,0,1,0,0,0,4,0,0,0,0,497,0,2,499,0
79,64,459,299,2,1,0,0,25,0,5,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,797,0,1,798,0
80,65,115,181,1,0,0,0,16,0,3,2,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,323,0,2,325,0
81,66,293,247,1,1,0,1,31,1,5,0,0,0,1,2,3,5,1,1,0,0,0,0,0,0,3,0,0,0,596,0,10,606,0
82,67,282,214,1,1,0,0,20,1,4,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,1,530,0,4,534,0
83,68,354,263,2,1,0,1,61,0,11,0,0,0,0,4,3,10,2,0,1,0,0,0,0,0,1,2,1,1,718,0,7,725,0
84,69,184,297,2,0,1,0,48,0,2,1,0,0,0,2,1,6,1,1,0,0,0,1,0,0,0,1,0,0,548,0,5,553,0
85,70,255,157,0,0,0,0,58,1,6,1,0,0,0,1,1,1,3,0,1,0,0,0,0,2,0,0,0,0,487,0,1,488,0
86,71,252,320,3,1,1,0,145,0,8,3,0,0,0,1,2,3,2,2,1,0,0,0,1,0,0,0,0,0,745,0,2,747,0
87,72,350,276,0,0,1,0,64,3,12,1,2,0,0,3,7,4,5,0,0,0,0,0,0,0,0,1,0,0,729,0,7,736,0
