Polling Station No.,Building,Polling Areas
11,"T.D.T.A.Primary School,Western Building,Southern Side,Ilanji","1.Ilanji (TP) Jubilee Keela Pacheri 1st Street Ward 1 , 2.Ilanji (TP) Jubilee Keela Pacheri 6th Street Ward , 3.Ilanji (TP) Jubilee Keela Pacheri 4th Street Ward 1 , 4.Ilanji (TP) Jubilee Keela Pacheri 7th Street Ward 1 , 5.Ilanji (TP) Jubilee Mela Pacheri 1st Street Ward 1 , 6.Ilanji (TP) Jubilee Mela Pacheri 2nd Street Ward 1 , 7.Ilanji (TP) Jubilee Mela Pacheri 3rd Street Ward 1 , 8.Ilanji (TP) Jubilee Thenvadal Street Ward 1 , 9.Ilanji (TP) Jubilee Keela Pacheri 1st Colony Ward 1 , 10.Ilanji (TP) Jubilee Keela Pacheri 2nd Colony Ward 1 , 11.Ilanji (TP) Jubilee Keela Pacheri 3rd Colony Ward 1 , 12.Ilanji (TP) Jubilee Keelapacheri 4th Colony Ward 1 , 13.Ilanji (TP) Tenkasi Senkottai Road Ward 1 , 14.Ilanji (TP) Gurunathan Kovil Street Ward 2 15.Ilanji (TP) T D T A School Street Ward 2 , 16.Ilanji (TP) Jubilee Keelapacheri 2nd Street Ward 2 , 17.Ilanji (TP) Jubilee Mela Pacheri 5th Street Ward 2 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
12,"Ramasamy Pillai Hr.Sec.School,Main Building,Southern Wing,Room No. 1,Ilanji","1.Ilanji (TP) Thangamman Kovil Street Ward 3 , 2.Ilanji (TP) Jubilee Kinatru Street Ward 3 , 3.Ilanji (TP) Kathavarayan Mudukku Street Ward 3 , 4.Ilanji (TP) Shencottai Tenkasi Road Ward 4 , 5.Ilanji (TP) Ramasamy Pillai 2nd Street Ward 4 , 6.Ilanji (TP) Ward 4 Jubilee Kinatru Street , 7.Ilanji (TP) Ward 4 Velar Thenvadal Mudukku Street , 8.Ilanji (TP) Ward 4 Velar Street Keel Portion , 9.Ilanji (TP) Ward 4 Velar Street Keel Portion , 10.Ilanji (TP) Ward 4 Manjolai , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
13,"Ramasamy Pillai Hr.Sec.School,Main Building,Middle Portion,Room No.2,Ilanji","1.Ilanji (TP) Ward 4 Courtallam Madurai Salai , 2.Ilanji (TP) Ward 5 Madurai Courtalam Salai , 3.Ilanji (TP) Ilanji Ramasamy Pillai 2 Street Keel Portion , 4.Ilanji (TP) Ward 5 Ramasamy Pillai 1st Street , 5.Ilanji (TP) Ward 5 Jubilee Kinatru Street , 6.Ilanji (TP) Ward 5 Ramasamy Pillai 2nd Street , 7.Ilanji (TP) Ward 5 Sudalai Madan Kovil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
14,"Ramasamy Pillai Hr.Sec.School,Main Building,Northern Portion,Room No.4,Ilanji","1.Ilanji (TP) Sudalaimadan Kovil Street Ward 6 , 2.Ilanji (TP) Ward 6 Courtallam Madurai Salai , 3.Ilanji (TP) Ward 6 Jubilee Well Street , 4.Ilanji (TP) Vadakkuthiamman Kovil 2nd Street Ward 6 , 5.Ilanji (TP) Chekkadi Street Ward 7 , 6.Ilanji (TP) Vadakkathiamman Kovil 1st Street Ward 7 , 7.Ilanji (TP) Gomathi Nagar Ward 7 , 8.Ilanji (TP) Ward 7 Jubilee Well Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
15,"Ramasamy Pillai Hr.Sec.School,New Joint Building,Southern Portion,Room No.6,Ilanji","1.Ilanji (TP) Ward 10 Madurai Courtallam Road , 2.Ilanji (TP) Ward 10 Jubilee Street , 3.Ilanji (TP) Ward 10 Jubilee 1st Cross Street Selva Vinayagar Street , 4.Ilanji (TP) Ward 10 Jubilee 2nd Cross Street , 5.Ilanji (TP) Ward 10 Ramasamy Kovil Street , 6.Ilanji (TP) Ward 10 Ramasamy Kovil 2nd Street , 7.Ilanji (TP) Ward 10 Vaikal 2nd Mudukku Street , 8.Ilanji (TP) Ward 10 Perumal Kovil Street , 9.Ilanji (TP) Ward 10 Iswaran Pillai Street , 10.Ilanji (TP) Ward 10 Vaikkallukkup Pohum 1st Mudukku Theru , 11.Ilanji (TP) Ward 10 Singara Oorani Mudukku Street , 12.Ilanji (TP) Ward 10 Singara Oorani Street , 13.Ilanji (TP) Ward 10 Palaniappa Pillai Mudukku Street , 14.Ilanji (TP) Ward 10 Chidambaranagar 1st Street , 15.Ilanji (TP) Ward 10 Chidambaranagar 2nd Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
16,"Ramasamy Pillai Hr. Sec. School,North Joint Building,Eastern Portion,Facing to North Hall No.31,Ilanji","1.Ilanji (TP) Ward 8 Narayanasamy Kovil Street , 2.Ilanji (TP) Ward 8 Oochimakaliamman Kovil Street , 3.Ilanji (TP) Ward 8 Oorani Mudukku Street , 4.Ilanji (TP) Ward 8 Chittatru Veeriamman Sannathi Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
17,"Ramasamy Pillai Hr. Sec. School,North Joint Building West Portion Facing to North Hall No.32,Ilanji","1.Ilanji (TP) Ward 7 Salai Street , 2.Ilanji (TP) Ward 9 Jubilee Thenvadal Street , 3.Ilanji (TP) Ward 9 Jubilee Keela 3rd Street , 4.Ilanji (TP) Ward 9 Chullakarai Pilliar Kovil Street , 5.Ilanji (TP) Ward 9 Chittattu VeeriAmman Kovil 1st Street , 6.Ilanji (TP) Ward 9 Chittattu VeeriammanKovil 2nd Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
18,"I.C.Iswaran Primary School,Eastern Side Building,Ilanji.","1.Ilanji (TP) Ward 12 Harijana Colony, Middle St, Ponnagar Street , 2.Ilanji (TP) Ward 12 Ilanji Ponnagar Street , 3.Ilanji (TP) Ward 12 Vallam Salai , 4.Ilanji (TP) Ward 12 Adi Dravida New Colony , 5.Ilanji (TP) Ward 12 Amman Koil Street , 6.Ilanji (TP) Ward 12 Kilamel Mudukku Street , 7.Ilanji (TP) Ward 12 Keela Street , 8.Ilanji (TP) Ward 12 Colony Street , 9.Ilanji (TP) Ward 12 Kadayilirunthu Piriyum Street , 10.Ilanji (TP) Ward 12 KrishnaKoil Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
19,"I.C.Iswaran Primary School,Western Building Southern Portion,Ilanji.","1.Ilanji (TP) Ward 13 Mudalali Kudiyiruppu Street , 2.Ilanji (TP) Ward 13 Valliyur Street , 3.Ilanji (TP) Ward 13 Indira Nagar , 4.Ilanji (TP) Ward 13 Indhira Nagar Kovil Street , 5.Ilanji (TP) Ward 13 Thentral Nagar , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
20,"Village Panchayat Sevai Maiyam South Portion,North Facing,Kasimajorpuram.","1.Courtalam (R.V) Kasimajarpuram (Pt) Ward 1 Nethaji Street , 2.Courtalam (R.V) Kasimajarpuram (Pt) Ward 1 Narayana Samy Kovil North Street , 3.Courtalam (R.V) Kasimajarpuram (Pt) Ward 1 Nadar Street , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
