Sl. No,Polling Station No,R. SAVITHA,K. ANNADURAI DAVID,M. BHARANIRAJAN,M. PALANIKUMAR,A. MURUGESAN,EMAN,LARENEG V. RAJAMANI,EHT R. REVATHY,V. ARUMUGAM,S SROTCELE P. ILANGOVAN,OT S. PANDIYAN UKKRA,M. KARUNAKARAN,M. SHARMA THAYAL SANKAR,S. SEKAR,. K. PACKIYASELVI,R. BALAMURUGAN,M.M. PILLAI,MARDNUKNARAPURIHT S. MANIKANDAN,M.K. KADAR ABDUL MOHIDEEN,K.R. MURUGAN,M. GUNASEKARAN (A) RADHA,K. RAMACHANDRAN,ednet der,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
26,21,230,183,1,9,12,1,0,1,58,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,502,0,502,0
27,22,138,89,1,17,17,0,0,0,30,1,0,2,0,0,0,0,0,1,0,0,0,0,0,5,301,0,301,0
28,22(A),115,101,1,12,20,1,0,0,23,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,279,0,279,0
29,23,296,207,0,15,66,0,0,0,49,0,0,4,0,0,0,2,0,2,0,0,0,0,0,1,642,0,642,0
30,24,246,209,0,26,75,1,0,1,64,0,1,3,0,1,1,1,0,0,0,0,1,3,0,8,641,0,641,0
31,25,142,109,0,7,34,0,1,0,48,0,0,0,1,0,0,0,0,0,0,1,0,0,0,8,351,0,351,0
32,26,256,201,0,10,24,1,0,0,77,0,0,2,2,0,0,1,1,0,0,1,1,0,0,7,584,0,584,0
33,27,277,143,1,24,28,1,1,0,48,0,1,5,0,0,0,1,0,0,0,0,0,0,0,4,534,0,534,0
34,28,168,208,1,41,15,1,0,0,39,0,0,10,0,0,0,2,0,1,1,0,0,0,0,3,490,0,490,0
35,28(A),158,253,0,29,17,0,0,0,32,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,494,0,494,0
36,29,202,155,1,46,24,0,0,0,50,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,487,0,487,0
37,29(A),193,206,0,19,25,0,0,0,30,0,0,2,0,0,1,1,2,2,0,0,0,0,0,1,482,0,482,0
38,30,256,304,1,88,22,1,0,1,37,0,2,0,3,0,1,0,0,1,0,0,0,1,0,4,722,0,722,0
39,31,127,281,10,77,58,2,0,1,54,0,1,0,1,1,2,0,1,1,1,0,0,0,0,7,625,0,625,0
40,32,164,198,0,120,8,0,0,0,53,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,549,0,549,0
41,32(A),154,252,2,98,9,0,0,0,26,0,2,3,1,0,0,1,1,0,0,0,1,0,0,1,551,0,551,0
42,33,322,349,3,95,11,0,0,0,78,0,1,3,1,1,0,2,0,1,0,0,0,1,0,8,876,0,876,0
43,34,282,216,3,39,52,1,0,0,69,0,0,2,0,0,0,2,0,0,0,0,0,0,0,8,674,0,674,0
44,35,103,280,1,1,6,0,0,2,22,54,0,0,1,0,0,0,0,0,0,0,0,0,0,2,472,0,472,0
45,35(A),62,376,2,2,3,0,0,2,13,22,1,0,1,0,1,1,1,0,0,0,0,0,0,0,487,0,487,0
46,36,179,329,2,25,18,1,0,0,46,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,606,0,606,0
47,37,194,311,0,38,7,0,0,0,42,6,0,0,0,0,0,1,0,2,0,0,0,0,0,2,603,0,603,0
48,38,138,222,0,30,14,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,431,0,431,0
49,38(A),140,289,1,27,15,0,0,0,23,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,499,0,499,0
50,39,212,240,1,30,16,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,527,0,527,0
51,40,246,237,0,38,45,0,1,0,61,0,1,1,1,0,0,0,0,0,1,0,0,0,0,12,644,0,644,0
52,41,116,257,3,94,31,0,1,0,49,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3,557,0,557,0
