Sl. No,Polling Station No,R. SAVITHA,K. ANNADURAI DAVID,M. BHARANIRAJAN,M. PALANIKUMAR,A. MURUGESAN,EMAN,LARENEG V. RAJAMANI,EHT R. REVATHY,V. ARUMUGAM,S SROTCELE P. ILANGOVAN,OT S. PANDIYAN UKKRA,M. KARUNAKARAN,M. SHARMA THAYAL SANKAR,S. SEKAR,. K. PACKIYASELVI,R. BALAMURUGAN,M.M. PILLAI,MARDNUKNARAPURIHT S. MANIKANDAN,M.K. KADAR ABDUL MOHIDEEN,K.R. MURUGAN,M. GUNASEKARAN (A) RADHA,K. RAMACHANDRAN,ednet der,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
195,129(A),105,376,3,14,50,0,0,1,24,0,2,0,0,0,1,1,1,3,0,1,0,0,0,7,589,0,589,0
196,130,88,248,1,16,77,0,1,0,40,1,0,0,0,0,0,0,1,2,0,1,1,0,0,6,483,0,483,0
197,130(A),59,340,1,15,46,0,0,0,18,1,0,1,1,0,0,0,0,0,1,0,0,0,0,4,487,0,487,0
198,131,93,378,2,4,85,0,2,1,35,0,0,0,1,0,0,0,0,2,0,1,0,0,0,3,607,0,607,0
199,132,113,255,2,12,70,0,1,1,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,498,0,498,0
200,132(A),69,321,7,7,40,0,0,0,17,0,0,0,2,1,0,0,1,3,2,0,0,1,1,2,474,0,474,0
201,133,133,489,2,27,105,1,1,0,47,2,1,3,1,0,0,2,0,1,1,1,0,0,0,8,825,0,825,0
202,134,244,412,3,24,45,3,3,0,35,1,0,2,1,1,0,3,3,0,0,0,1,0,0,2,783,0,783,0
203,135,137,346,3,17,100,0,2,4,61,0,1,0,1,0,1,3,0,1,0,0,0,1,1,19,698,0,698,0
204,136,128,160,0,63,5,1,0,0,59,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,422,0,422,0
205,136(A),105,237,2,44,5,0,0,0,30,0,1,0,0,0,0,1,2,1,0,1,2,0,0,2,433,0,433,0
206,137,123,249,0,39,16,0,0,0,75,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,506,0,506,0
207,138,110,195,0,28,9,1,0,0,59,0,1,0,0,0,1,0,1,0,0,0,0,1,0,4,410,0,410,0
208,138(A),119,246,0,25,3,0,1,1,32,0,1,0,1,0,1,2,1,2,0,0,0,0,0,2,437,0,437,0
209,139,125,267,1,51,14,0,0,1,64,1,1,0,0,0,0,1,5,3,2,4,3,0,0,8,551,0,551,0
210,140,246,318,0,84,14,0,1,1,83,0,1,4,2,1,1,0,0,4,0,0,0,0,0,3,763,0,763,0
211,141,178,208,1,44,15,1,1,0,51,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,506,0,506,0
212,142,120,214,2,21,7,0,0,3,89,53,0,0,0,0,2,0,0,1,0,0,0,0,0,2,514,0,514,0
213,142(A),103,296,2,21,7,0,2,0,43,60,2,0,3,0,1,5,0,0,0,0,0,1,0,2,548,0,548,0
214,143,182,115,1,65,19,0,0,0,59,0,0,0,1,0,1,3,0,0,0,1,13,0,0,1,461,0,461,0
215,143(A),177,173,0,73,16,0,1,0,50,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,495,0,495,0
216,144,203,175,1,39,45,0,0,0,65,0,2,1,2,0,1,0,0,1,0,1,5,0,0,2,543,0,543,0
217,145,160,205,2,32,40,0,0,0,71,1,3,0,0,1,0,0,1,0,0,1,7,0,1,5,530,0,530,0
218,146,116,146,2,18,30,0,0,1,81,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,403,0,403,0
219,146(A),104,161,0,25,37,0,1,0,57,1,0,1,0,0,0,1,0,0,0,0,2,1,0,4,395,0,395,0
220,147,176,92,0,20,24,0,0,1,65,1,0,1,0,0,0,0,0,1,0,0,4,0,1,6,392,0,392,0
221,147(A),203,135,1,29,18,1,0,0,58,0,0,1,3,0,0,1,5,0,0,0,3,1,0,2,461,0,461,0
222,148,150,100,0,21,23,0,0,1,89,0,0,1,0,0,0,0,3,1,0,1,3,1,0,12,406,0,406,0
223,148(A),140,115,0,19,32,0,0,1,59,0,0,0,1,0,1,2,2,0,0,0,3,0,0,6,381,0,381,0
224,149,187,243,1,12,45,1,0,1,86,1,0,0,0,0,0,0,0,0,0,0,5,0,0,6,588,0,588,0
225,149(A),138,307,3,11,40,0,2,0,42,0,0,0,0,0,0,1,0,0,0,1,2,0,0,4,551,0,551,0
226,150,185,229,1,25,35,0,1,0,101,1,0,0,0,0,1,1,0,1,0,0,9,0,0,5,595,0,595,0
227,150(A),142,305,1,21,38,0,3,2,56,0,1,0,1,1,2,2,1,1,0,0,5,0,0,2,584,0,584,0
228,151,130,177,1,13,97,0,0,0,52,0,0,1,0,0,0,0,0,0,0,0,3,0,0,6,480,0,480,0
229,151(A),76,182,2,12,74,0,0,0,23,1,0,0,0,0,1,0,0,1,0,0,1,0,0,8,381,0,381,0
230,152,126,173,1,14,58,0,0,0,58,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7,440,0,440,0
231,152(A),109,209,3,7,68,1,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,438,0,438,0
232,153,144,164,0,13,44,0,0,0,61,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,434,0,434,0
233,153(A),143,151,3,9,57,0,0,0,35,0,0,0,1,0,0,1,0,1,0,0,0,0,0,9,410,0,410,0
234,154,120,150,0,8,53,0,0,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,401,0,401,0
235,154(A),104,170,1,4,42,2,0,0,26,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,353,0,353,0
236,155,185,196,1,9,45,0,0,0,75,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,517,0,517,0
237,155(A),140,224,1,12,50,0,0,0,41,0,0,1,1,1,0,1,0,0,1,0,0,0,1,5,479,0,479,0
238,156,161,162,0,11,54,0,0,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,469,0,469,0
239,156(A),148,187,1,11,41,0,0,0,43,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,436,0,436,0
240,157,188,154,1,18,45,0,0,0,51,0,0,1,1,0,0,1,0,1,0,0,0,0,0,8,469,0,469,0
241,157(A),150,193,1,15,50,0,1,0,35,0,0,1,0,0,0,0,1,1,1,1,1,0,0,2,453,0,453,0
242,158,130,155,0,10,28,0,0,1,30,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,359,0,359,0
243,158(A),105,173,0,9,34,0,0,0,15,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,340,0,340,0
244,159,191,304,2,14,79,0,1,0,74,0,0,2,0,0,0,2,0,1,0,0,0,0,0,4,674,0,674,0
245,160,138,145,1,10,41,1,0,1,60,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,404,0,404,0
246,160(A),118,170,2,6,39,2,0,0,40,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,382,0,382,0
247,161,135,195,0,10,22,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,409,0,409,0
248,162,150,132,0,14,35,0,0,1,56,0,0,1,2,0,0,2,0,2,0,0,0,0,0,4,399,0,399,0
249,162(A),121,153,2,11,36,0,1,0,36,1,0,1,1,0,0,0,1,0,0,0,1,0,0,5,370,0,370,0
250,163,177,159,0,10,66,0,0,0,41,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,459,0,459,0
251,163(A),155,165,2,13,56,0,1,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,434,0,434,0
252,164,178,189,2,20,39,1,0,0,36,0,0,0,1,1,1,0,0,1,0,0,0,0,0,4,473,0,473,0
253,165,154,156,1,17,50,0,0,0,44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,3,428,0,428,0
254,165(A),139,171,0,10,42,0,0,0,16,0,0,3,0,0,0,2,1,0,0,0,0,0,0,4,388,0,388,0
255,166,146,152,0,17,33,0,0,0,46,0,0,2,0,0,1,0,0,1,0,0,0,0,0,4,402,0,402,0
256,166(A),117,206,1,14,33,1,0,0,24,0,1,2,1,0,1,4,0,1,0,0,0,0,0,3,409,0,409,0
257,167,259,301,1,12,62,1,0,2,59,0,0,0,0,0,0,1,3,0,0,1,0,0,0,7,709,0,709,0
258,168,127,135,0,5,50,0,0,0,37,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,359,0,359,0
259,168(A),119,134,1,7,54,1,0,0,23,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,343,0,343,0
260,169,199,159,0,8,56,0,0,0,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,488,0,488,0
261,169(A),154,157,0,11,55,0,0,0,18,3,0,1,2,0,0,1,0,0,0,0,0,0,0,2,404,0,404,0
262,170,152,177,0,11,58,0,0,0,78,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,482,0,482,0
263,170(A),111,216,1,10,64,0,1,0,38,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,446,0,446,0
264,171,140,224,1,16,48,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,486,0,486,0
265,171(A),113,279,2,18,36,1,0,0,28,1,0,0,1,0,1,0,0,1,0,1,0,1,0,3,486,0,486,0
266,172,243,284,0,17,67,0,0,0,67,0,0,2,4,2,0,3,0,0,0,0,0,1,0,7,697,0,697,0
267,173,150,289,3,55,101,0,0,1,57,0,0,0,1,1,1,1,0,2,0,0,1,0,0,4,667,0,667,0
268,174,107,155,2,16,56,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,388,0,388,0
269,174(A),86,173,0,8,53,0,0,0,27,0,1,2,0,0,0,2,0,0,0,0,1,1,0,5,359,0,359,0
270,175,147,177,2,16,70,0,0,0,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,469,0,469,0
271,175(A),109,216,2,13,65,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,445,0,445,0
272,176,90,181,2,8,67,0,0,0,49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,407,0,407,0
273,176(A),75,199,2,10,50,1,0,0,17,1,0,0,3,0,1,0,0,0,0,0,0,0,0,7,366,0,366,0
274,177,131,385,5,16,147,1,0,0,65,0,0,0,1,0,0,2,0,2,0,0,0,0,0,15,770,0,770,0
275,178,114,292,0,16,63,0,0,0,57,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4,550,0,550,0
276,179,144,285,5,14,110,1,1,0,99,0,0,0,0,0,1,0,1,0,0,0,0,1,1,12,675,0,675,0
277,179(A),135,316,7,9,83,0,0,1,60,0,0,0,0,0,0,2,0,1,0,0,0,0,0,9,623,0,623,0
278,180,139,258,2,8,85,0,0,0,77,0,0,1,0,0,0,1,1,0,0,0,1,0,0,12,585,0,585,0
279,180(A),106,288,1,8,87,0,0,0,44,0,0,0,1,0,0,0,0,0,1,1,2,0,0,4,543,0,543,0
280,181,128,215,2,4,67,0,0,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,473,0,473,0
281,181(A),91,249,1,10,77,0,0,0,26,0,0,2,0,0,0,1,0,1,0,0,0,0,0,5,463,0,463,0
282,182,121,222,3,18,80,1,0,0,53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,510,0,510,0
283,182(A),107,230,2,12,58,0,1,0,37,0,0,0,0,0,0,1,0,2,1,0,0,0,0,6,457,0,457,0
284,183,136,228,1,3,70,0,0,0,54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,500,0,500,0
285,183(A),106,251,2,5,70,0,2,0,31,0,0,0,0,0,2,0,1,0,0,0,1,1,0,5,477,0,477,0
286,184,189,173,3,12,86,0,0,0,57,0,0,2,0,0,0,2,0,0,0,0,2,0,0,5,531,0,531,1
287,185,140,298,2,5,95,0,0,1,45,1,0,2,1,0,1,0,0,1,0,1,0,0,0,6,599,0,599,0
288,186,135,188,0,21,74,0,0,1,97,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,520,0,520,0
289,186(A),127,202,1,20,66,1,0,0,46,0,0,2,1,0,0,4,3,0,1,1,0,2,0,4,481,0,481,0
290,187,153,174,1,19,66,0,0,0,40,0,0,2,0,0,0,1,1,0,0,0,3,0,0,9,469,0,469,0
291,187(A),126,184,4,14,61,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,422,0,422,0
292,188,152,176,0,12,60,0,0,1,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,463,0,463,0
293,188(A),105,191,1,8,61,0,0,0,29,0,0,1,0,0,0,1,2,0,0,0,1,1,0,4,405,0,405,0
294,189,121,145,3,12,48,0,0,0,40,0,0,2,2,0,0,0,0,0,0,0,0,0,0,5,378,0,378,0
295,189(A),87,160,4,7,72,3,0,0,25,0,0,2,1,1,0,1,0,0,0,0,0,0,0,3,366,0,366,0
296,190,116,188,2,7,65,0,0,0,40,0,0,0,2,0,0,0,0,1,0,0,1,0,0,6,428,0,428,0
297,190(A),93,195,4,8,73,1,1,0,26,1,0,0,0,0,0,1,0,0,0,0,0,1,0,4,408,0,408,0
298,191,115,224,6,7,57,1,0,0,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,467,0,467,0
299,191(A),85,222,3,11,64,0,0,1,25,1,0,0,0,0,1,1,0,0,1,2,3,1,0,5,426,0,426,0
300,192,228,121,0,6,9,1,1,0,57,0,1,0,0,0,3,1,0,0,0,0,0,0,0,4,432,0,432,0
301,192(A),241,186,2,9,11,0,0,0,34,1,1,0,0,0,2,2,1,1,1,0,0,0,2,4,498,0,498,0
302,193,201,218,4,15,88,1,0,0,66,0,0,0,0,0,0,2,0,0,0,0,2,0,0,6,603,0,603,1
303,193(A),174,227,0,7,81,0,0,1,37,0,0,1,1,0,0,0,0,2,1,2,1,0,0,6,541,0,541,0
304,194,181,214,0,26,50,1,0,0,76,1,0,1,1,1,0,1,0,0,0,0,25,0,0,9,587,0,587,0
305,194(A),177,280,2,20,52,1,1,0,45,2,1,0,0,0,1,2,2,2,1,0,12,0,0,7,608,0,608,0
306,195,251,157,2,19,15,0,1,1,61,0,0,1,2,0,0,0,0,0,0,0,8,0,0,6,524,0,524,0
307,195(A),238,236,2,16,25,0,3,0,31,0,0,0,5,1,0,4,0,0,0,0,5,0,1,3,570,0,570,0
308,196,128,182,1,18,33,0,0,0,52,0,0,1,0,0,0,0,0,0,0,0,40,0,0,7,462,0,462,0
309,196(A),94,241,0,12,34,0,1,0,27,0,0,1,0,1,0,4,0,0,0,0,18,0,0,0,433,0,433,0
310,197,132,254,0,16,27,0,0,0,42,0,0,1,2,0,0,1,1,1,0,0,6,0,0,3,486,0,486,0
311,198,107,387,3,33,33,0,0,0,82,3,0,1,0,1,1,0,4,8,1,2,16,2,0,8,692,0,692,0
312,199,188,148,1,20,20,0,0,0,64,0,1,0,1,0,3,2,0,0,0,0,4,0,0,2,454,0,454,0
313,200,158,205,3,39,15,0,0,1,63,9,2,0,0,0,0,1,0,0,0,0,2,0,0,2,500,0,500,1
314,200(A),144,241,4,39,6,0,1,0,13,5,1,1,0,0,1,1,2,1,0,1,1,1,0,2,465,0,465,0
315,201,134,203,0,15,29,0,0,0,60,0,0,0,1,0,0,1,0,0,1,0,14,0,0,3,461,0,461,0
316,202,66,258,5,5,58,0,0,0,44,0,0,0,1,0,1,0,0,1,0,0,4,0,0,5,448,0,448,0
317,202(A),47,334,5,4,51,0,1,0,15,0,0,1,0,0,1,1,0,1,0,0,1,0,0,5,467,0,467,0
318,203,54,203,1,9,45,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,3,1,0,2,361,0,361,0
319,203(A),33,250,1,6,29,0,0,0,16,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,340,0,340,1
320,204,110,267,8,17,59,0,0,0,53,0,1,0,0,0,0,1,0,0,0,0,1,0,0,9,526,0,526,0
321,204(A),58,326,3,17,42,0,1,0,28,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,480,0,480,0
322,205,128,209,1,12,44,0,0,0,81,0,0,0,1,0,0,0,0,0,0,1,18,0,0,8,503,0,503,0
323,205(A),95,310,1,5,39,0,1,0,42,0,0,0,1,0,1,1,1,0,0,0,5,0,0,7,509,0,509,1
324,206,169,257,0,10,70,0,0,1,72,1,0,1,0,0,0,0,1,2,1,0,9,0,0,8,602,0,602,0
325,206(A),109,330,0,6,85,0,0,0,38,0,0,0,2,1,0,4,1,1,0,0,2,0,1,4,584,0,584,0
326,207,148,191,0,14,64,0,0,0,78,1,1,2,1,0,0,1,0,1,0,0,33,0,0,9,544,0,544,0
327,207(A),115,251,0,11,60,1,0,0,47,0,1,3,0,0,0,0,0,1,0,1,28,1,0,7,527,0,527,0
328,208,187,168,1,10,45,0,0,0,63,0,0,1,0,1,1,0,1,0,0,1,9,1,0,6,495,0,495,0
329,208(A),145,224,1,7,33,0,0,0,21,0,0,1,1,2,0,3,0,1,0,0,6,1,0,2,448,0,448,0
330,209,152,172,1,9,34,0,0,0,43,0,0,0,0,1,0,0,0,0,0,0,4,0,0,3,419,0,419,0
331,209(A),129,210,2,6,33,1,0,0,25,0,0,1,0,0,1,0,0,2,2,0,4,0,0,5,421,0,421,0
332,210,144,216,1,34,29,0,1,1,91,0,0,0,1,0,0,1,0,0,0,0,12,1,0,3,535,0,535,0
333,210(A),85,330,2,24,36,0,0,0,39,0,1,0,2,0,0,0,0,1,0,0,4,0,1,5,530,0,530,0
334,211,153,164,0,23,56,2,0,0,61,0,0,0,2,0,0,0,0,0,0,0,6,0,0,7,474,0,474,0
335,211(A),124,249,0,12,33,1,1,0,36,0,0,1,1,1,0,2,0,0,0,0,2,0,0,0,463,0,463,0
336,212,150,176,0,33,62,0,0,0,64,3,0,0,0,0,0,0,0,1,0,0,7,1,0,8,505,0,505,0
337,212(A),129,227,5,22,56,1,0,0,28,3,0,0,1,0,1,0,1,4,1,0,5,0,0,1,485,0,485,0
338,213,197,297,1,12,39,0,0,0,69,4,0,0,0,1,0,1,0,1,0,0,2,0,0,1,625,0,625,0
339,214,132,270,0,13,20,0,0,1,55,0,0,0,1,0,1,3,0,0,0,0,0,0,0,2,498,0,498,0
340,214(A),94,375,4,17,16,0,0,1,24,0,1,1,1,0,0,0,0,0,0,1,0,1,0,2,538,0,538,0
341,215,195,407,1,15,23,0,0,1,53,1,0,2,4,1,4,3,1,0,0,0,1,2,0,4,718,0,718,0
342,216,225,320,1,20,21,1,0,0,55,0,0,2,0,0,0,1,0,3,1,0,0,1,0,2,653,0,653,0
343,217,119,263,0,11,21,0,0,0,46,1,0,0,0,0,0,2,1,2,0,0,0,0,0,3,469,0,469,0
344,218,95,192,1,12,26,0,0,0,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,405,0,405,0
345,218(A),79,239,4,6,35,0,0,0,36,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,405,0,405,0
346,219,228,179,0,11,30,0,1,0,82,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,543,0,543,0
347,219(A),209,260,0,7,33,1,0,0,31,1,0,0,1,0,0,2,0,1,2,0,0,2,1,0,551,0,551,0
348,220,243,304,5,12,47,0,0,0,103,0,0,0,0,0,1,2,2,0,0,0,0,0,0,9,728,0,728,0
349,221,116,351,1,15,39,0,0,1,103,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,632,0,632,0
350,222,108,148,1,38,44,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,417,0,417,0
351,222(A),93,188,0,41,48,0,0,0,35,0,0,0,1,0,0,2,1,0,1,0,0,1,0,6,417,0,417,0
352,223,123,188,0,26,39,0,0,0,66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,450,0,450,0
353,223(A),107,207,2,16,32,0,0,0,43,0,0,1,0,2,0,0,1,2,0,0,0,1,0,9,423,0,423,0
354,224,108,188,0,25,51,0,0,1,62,0,0,1,0,0,0,1,2,0,0,0,0,0,0,5,444,0,444,0
355,224(A),95,196,1,27,36,0,1,0,23,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,385,0,385,0
356,225,116,167,0,24,51,0,0,0,60,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,425,0,425,0
357,225(A),98,194,0,13,56,0,0,0,25,0,0,0,1,0,1,2,0,0,0,0,1,0,0,3,394,0,394,0
358,226,160,178,2,14,52,0,0,0,81,0,0,2,0,1,0,0,0,0,0,0,2,0,0,4,496,0,496,0
359,226(A),123,196,3,9,51,0,1,1,55,0,0,1,1,0,1,2,1,7,1,0,2,1,0,7,463,0,463,0
360,227,120,148,1,14,59,0,0,0,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,410,0,410,0
361,227(A),114,190,0,16,58,1,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,425,0,425,0
362,228,195,318,3,27,86,0,1,1,92,0,1,0,2,0,1,0,0,2,0,0,0,0,0,16,745,0,745,0
363,229,105,205,0,37,55,1,0,1,77,0,0,0,0,0,0,2,0,1,0,0,0,0,0,6,490,0,490,0
364,229(A),91,266,1,23,54,0,0,0,38,0,1,0,1,0,2,1,0,0,1,0,0,1,0,6,486,0,486,0
365,230,192,317,1,53,87,1,0,0,112,0,0,1,0,1,0,1,1,1,0,0,1,0,0,11,780,0,780,0
366,231,272,243,1,2,43,0,0,0,78,0,1,0,0,0,1,2,3,0,0,0,0,0,0,6,652,0,652,0
367,232,152,216,1,15,29,0,1,0,42,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,461,0,461,0
368,233,107,175,2,26,26,0,0,0,74,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4,418,0,418,0
369,233(A),90,250,3,19,26,0,1,0,32,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,427,0,427,0
370,234,157,226,1,12,11,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,448,0,448,0
371,235,127,250,1,18,35,0,1,0,91,1,1,0,0,0,0,0,0,2,0,0,0,0,0,4,531,0,531,0
372,235(A),79,320,3,14,34,0,0,0,52,0,0,1,0,0,0,1,0,1,1,0,0,2,0,3,511,0,511,0
373,236,163,243,0,9,15,0,0,0,72,0,0,0,2,0,0,2,2,0,0,0,1,0,1,2,512,0,512,0
374,236(A),110,310,3,17,12,0,0,3,29,1,0,1,1,0,0,3,1,1,0,0,0,0,0,4,496,0,496,0
375,237,231,213,1,19,25,0,0,0,91,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,585,0,585,0
376,238,89,202,1,14,24,1,0,0,63,1,0,0,0,1,0,2,0,0,1,0,0,0,0,5,404,0,404,0
377,238(A),71,256,1,12,25,0,0,0,33,0,0,0,2,0,0,2,0,2,0,0,0,0,0,7,411,0,411,0
378,239,192,186,0,26,11,0,0,0,85,0,0,2,0,2,1,1,0,0,0,0,0,3,0,5,514,0,514,0
379,239(A),189,251,3,8,14,0,0,0,28,0,0,0,1,2,1,0,2,1,0,0,0,1,0,1,502,0,502,0
380,240,222,197,0,20,64,0,1,1,65,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,578,0,578,0
381,240(A),196,257,1,12,55,2,0,2,45,0,1,0,0,0,1,3,0,1,0,0,0,0,0,6,582,0,582,0
382,241,195,213,3,17,78,0,0,0,75,0,0,0,0,0,0,0,2,0,0,0,0,0,2,10,595,0,595,0
383,241(A),177,250,0,9,62,0,1,0,29,0,0,1,1,0,1,0,2,0,1,0,0,0,0,11,545,0,545,0
384,242,217,154,2,15,16,0,0,0,74,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,484,0,484,0
385,242(A),203,214,1,14,13,0,0,1,36,1,0,0,1,1,2,2,2,1,0,1,0,0,0,3,496,0,496,0
386,243,205,176,1,10,48,0,0,1,81,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,525,0,525,0
387,243(A),179,199,0,6,51,0,0,0,55,0,0,0,1,0,0,5,0,0,0,2,0,0,0,9,507,0,507,0
388,244,175,202,1,5,71,0,0,0,81,0,0,2,0,0,1,1,0,0,0,0,0,0,0,6,545,0,545,0
389,244(A),139,230,2,3,76,0,0,0,28,0,0,2,1,0,1,1,0,0,0,0,0,0,0,6,489,0,489,0
390,245,254,300,2,24,48,0,1,1,92,1,0,0,0,0,0,0,0,0,0,2,1,0,0,3,729,0,729,0
391,246,122,134,2,40,32,0,1,0,62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,399,0,399,0
392,246(A),91,178,1,30,30,0,0,0,30,1,0,0,0,0,1,1,1,0,0,0,0,0,0,2,366,0,366,0
393,247,236,272,1,44,48,0,0,0,74,0,2,1,0,0,0,0,1,0,0,0,0,0,0,4,683,0,683,0
394,248,114,165,0,56,24,0,0,2,53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,417,0,417,0
395,248(A),109,193,0,58,35,1,0,1,36,0,0,1,2,0,0,1,0,1,0,1,1,1,0,3,444,0,444,0
396,249,184,332,1,40,16,1,0,0,75,0,0,0,0,0,0,2,2,1,0,2,0,0,1,5,662,0,662,0
397,250,207,232,2,20,40,1,0,0,49,0,1,0,0,0,1,1,0,1,0,0,0,0,1,2,558,0,558,0
398,251,309,157,1,34,13,1,0,0,73,0,2,0,0,0,1,3,2,2,1,0,0,0,1,3,603,0,603,0
399,252,124,176,0,25,44,0,1,0,71,1,3,0,0,0,0,0,0,0,0,0,1,0,0,3,449,0,449,0
400,252(A),105,241,0,18,41,0,0,0,42,0,7,0,1,0,0,1,1,1,1,0,1,0,0,2,462,0,462,0
401,253,159,232,0,40,20,0,0,0,51,0,9,0,0,0,1,0,1,0,0,0,1,0,0,6,520,0,520,0
402,254,138,170,0,28,16,0,2,0,68,1,0,0,4,0,0,1,0,0,0,0,0,0,0,6,434,0,434,0
403,254(A),121,241,0,19,27,0,0,0,43,1,0,0,5,0,0,1,1,1,0,2,0,1,0,3,466,0,466,0
404,255,216,216,1,28,54,0,1,1,61,0,0,1,1,0,0,3,3,0,0,0,0,0,0,8,594,0,594,0
405,256,243,306,1,12,36,0,1,0,70,1,1,1,0,0,1,0,1,0,0,4,0,0,0,7,685,0,685,0
406,257,370,130,1,10,8,0,1,0,33,0,0,0,1,0,0,0,0,0,0,9,0,0,0,7,570,0,570,0
407,258,185,154,0,21,27,1,1,1,94,0,0,0,0,1,1,0,0,1,1,3,0,1,2,4,498,0,498,0
408,258(A),191,230,0,13,23,1,2,0,47,0,1,0,0,0,0,2,1,2,0,4,0,0,0,2,519,0,519,0
409,259,175,187,0,26,17,0,0,0,60,0,0,0,0,0,0,0,2,0,0,0,5,1,0,1,474,0,474,0
410,259(A),128,269,2,18,14,0,0,0,34,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2,471,0,471,0
411,260,90,189,0,86,22,0,0,0,63,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,458,0,458,0
412,260(A),67,270,1,56,20,0,0,0,45,1,0,0,0,1,0,0,1,2,0,0,2,3,0,4,473,0,473,0
413,261,117,241,1,111,12,0,0,0,43,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,531,0,531,0
414,261(A),97,314,2,78,11,2,1,0,18,0,0,0,1,1,3,0,0,3,0,0,0,0,0,2,533,0,533,0
415,262,219,320,3,37,39,1,0,0,105,0,0,0,4,0,0,1,2,0,0,0,1,0,0,9,741,0,741,0
416,263,173,270,1,69,38,0,1,0,79,0,1,1,1,0,2,0,2,0,0,1,0,1,1,2,643,0,643,0
417,264,324,266,1,31,22,0,1,0,54,0,0,0,1,0,1,3,0,1,0,0,0,1,1,1,708,0,708,0
418,265,215,166,0,19,33,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,496,0,496,0
