Polling Station No.,Building,Polling Areas
17,"Pt. Union Middle School,Northern Building East Side, Nagamalai Pudukottai.-625019","1.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Arijana colony ward 4, 2.Vilacheri (R.V) Nagamalaipudukottai (P) Harijana Colony East Street ward 4 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Nagamalaipudukottai ward 4 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Ambethkar Nagar Middle School Street Ward 4, 5.Vilacheri (R.V) Nagamalaipudukottai (P) Muniyandi kovil Street ward 4 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
18,"Pt.Union Middle School, Western Building, Northern Portion Nagamalai Pudukottai -625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Mela Street Ward 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
19,"Pt. Union Middle School,Western Building, Southern Portion Nagamalai Pudukottai -625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Mela Theru Chinnakannu Nagar Ward 5 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
20,"Pt.Union Middle School ,Southern Side Nagamalai Pudukottai-625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Theni Main Road ward 6 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Police Station Street Ward 6 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Police Station Street Ward 6 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
21,"Pt.Union Elementary School, Kilaneri- 625019","1.Vilacheri (R.V) Nagamalaipudukottai (P) Kilaneri ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Kilaneri Mela Street Ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
22,"Sirumalar Girls Hr.Sec.School, Eastern Side, Nagamalai Pudukottai- 625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Wellington Street ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Rajendra Prasath Street Ward 7 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Indira Gandhi Street ward 7 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Nethaji street ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
23,"Sirumalar Girls Hr.Sec.School, East Side, Nagamalai Pudukottai-625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Mahathma Gandhi Street Ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Bharathidasan Street Ward 7 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Bharathiar Street Ward 7 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Periyar Street Ward 7 , 5.Vilacheri (R.V) Nagamalaipudukottai (P) Venkatraman Nagar Ward 7 , 6.Vilacheri (R.V) Nagamalaipudukottai (P) Muthuramalingam Street Ward 7 , 7.Vilacheri (R.V) Nagamalaipudukottai (P) Nakkeerar Street ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
24,"Sirumalar Girls Hr.Sec.School, Therasa Hall, Nagamalai Pudukottai - 625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Valluvar Street Ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Palanimuthu Street Ward 7 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Ilangovadikal Street Ward 7 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Arignar Anna Street ward 7 , 5.Vilacheri (R.V) Nagamalaipudukottai (P) Pechimuthu Nethaji Street ward 7 , 6.Vilacheri (R.V) Nagamalaipudukottai (P) Sathasivam Street Ward 7 , 7.Vilacheri (R.V) Nagamalaipudukottai (P) Subramaniasiva Street ward 7 , 8.Vilacheri (R.V) Nagamalaipudukottai (P) Rajaji Street ward 7 , 9.Vilacheri (R.V) Nagamalaipudukottai (P) Jawahar Street Ward 7 , 10.Vilacheri (R.V) Nagamalaipudukottai (P) Vanjinathan Street ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
25,"Sirumalar Girls Hr.Sec.School, Therasa Hall, Nagamalai Pudukottai- 625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Kumarasami Raja Street Ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Omanthurar Street ward 7 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Kamarajar Street ward 7 , 4.Vilacheri (R.V) Nagamalaipudukottai (P) Radhakrishnan Street ward 7 , 5.Vilacheri (R.V) Nagamalaipudukottai (P) Kambar street ward 7 , 6.Vilacheri (R.V) Nagamalaipudukottai (P) Bakthavathsalam Street ward 7 , 7.Vilacheri (R.V) Nagamalaipudukottai (P) V.V.kiri Street ward 7 , 8.Vilacheri (R.V) Nagamalaipudukottai (P) Theni Main Road S V N College Road Opposite Ward 7 , 9.Vilacheri (R.V) Nagamalaipudukottai (P) Balasubramanian Street ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
26,"Sirumalar Girls Hr. Sec. School, Therasa Hall, Nagamalai Pudukottai - 625019.","1.Vilacheri (R.V) Nagamalaipudukottai (P) Jeevanantham Street Ward 7 , 2.Vilacheri (R.V) Nagamalaipudukottai (P) Kanmaikarai Ward 7 , 3.Vilacheri (R.V) Nagamalaipudukottai (P) Rajiv Gandhi Street (E.B.Colony) Ward 7 4.Vilacheri (R.V) Nagamalaipudukottai (P) Teachers Quarters ward 7 , 5.Vilacheri (R.V) Nagamalaipudukottai (P) Annaitherasa Street ward 7 , 99.OVERSEAS ELECTORS OVERSEAS ELECTORS"
