Sl. No,Polling Station No,Sambathkumar .T DMK,"Palaniswami, K. Edappadi AIADMK",A. Jamuna BSP,"IPA P. Eswari, Worker Social",PIM K.N. Gunasekaran,KMRGM S. Suriyamoorthy,D. Thasapparaj MNM,"N. Sekar, Pookadai AMMK",Dhesiya KM C. Mani,KIT R. Manikandan,Shrirathna NTK,"N Sriramachandran, Agni IND",N. Eswaramurthy IND,P. Eswaramoorthy IND,P. Iyyappan IND,V. Kathiravan IND,L. Kathiresan IND,M. Guheshkumar IND,G. Shanmugam IND,G. Sownthararajan IND,K. Dr.Padmarajan IND,A. Palanisamy IND,J. Balasubramaniam IND,M. Balamurugan IND,M. Murugan IND,G. Lakshmi IND,S. Loganathan IND,A. Stalin IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
19,16A(W),99,348,0,0,0,0,11,2,1,0,6,0,0,0,0,4,1,1,0,0,0,0,0,1,0,3,0,1,478,2,0,480
20,17,218,465,1,1,0,0,3,2,0,2,8,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,707,3,0,710
21,18M,251,264,3,0,0,0,8,0,0,0,24,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,553,1,0,554
22,18A(W),230,270,2,0,0,0,6,2,0,0,10,1,1,0,2,1,2,2,0,0,1,0,0,0,0,0,0,1,531,3,0,534
23,19,200,586,0,0,0,1,9,0,0,0,24,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,825,4,0,829
24,20,282,339,4,1,0,0,6,0,0,0,31,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,667,5,0,672
25,21,128,537,3,0,0,0,1,4,1,0,5,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,686,0,0,686
26,22,154,467,0,1,0,0,6,1,0,0,11,0,0,0,2,0,1,1,0,0,1,0,0,0,0,1,1,0,647,1,0,648
27,23M,203,330,0,0,0,0,7,2,0,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,562,3,0,565
28,23A(W),179,354,0,1,0,0,5,0,1,1,8,0,0,0,2,3,1,4,0,0,0,0,0,0,0,2,0,0,561,2,0,563
29,24,191,498,1,0,2,0,25,0,0,0,17,0,0,0,1,2,3,5,0,0,0,0,0,0,0,0,0,1,746,2,0,748
30,25,108,484,1,0,1,0,17,0,0,0,16,1,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,634,0,0,634
31,26,123,503,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656,3,0,659
32,27,168,454,3,0,0,0,8,2,1,0,38,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,1,683,4,0,687
33,28,127,533,4,1,1,0,7,1,0,0,30,1,0,0,3,2,2,2,1,0,1,0,0,0,0,0,3,1,720,4,0,724
34,29,186,550,3,1,0,1,8,0,0,0,31,0,0,1,11,2,1,5,0,0,0,0,0,0,0,1,0,2,803,1,0,804
35,30,161,507,2,0,0,0,21,0,0,0,21,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,714,2,0,716
36,31,121,315,2,0,0,1,9,1,0,2,19,0,0,0,2,5,2,1,0,1,0,1,1,0,0,0,0,0,483,5,0,488
37,32M,131,427,4,0,0,0,6,4,0,0,31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,608,1,0,609
38,32A(W),107,430,3,0,0,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,0,555,0,0,555
39,33,100,324,2,0,0,0,9,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,461,2,0,463
40,34,254,366,1,1,0,0,2,4,0,0,54,1,0,0,0,1,3,0,0,1,1,0,0,0,0,2,1,2,694,6,0,700
41,35,210,421,5,0,0,0,1,3,0,2,34,0,0,0,3,1,1,0,1,0,1,0,0,0,0,1,1,2,687,3,0,690
42,36M,105,388,1,0,0,1,0,1,0,1,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,525,1,0,526
43,36A(W),75,367,1,0,0,0,0,0,0,0,10,0,0,1,1,0,2,7,1,2,0,0,1,0,1,1,1,4,475,1,0,476
