Sl. No,Polling Station No,Sambathkumar .T DMK,"Palaniswami, K. Edappadi AIADMK",A. Jamuna BSP,"IPA P. Eswari, Worker Social",PIM K.N. Gunasekaran,KMRGM S. Suriyamoorthy,D. Thasapparaj MNM,"N. Sekar, Pookadai AMMK",Dhesiya KM C. Mani,KIT R. Manikandan,Shrirathna NTK,"N Sriramachandran, Agni IND",N. Eswaramurthy IND,P. Eswaramoorthy IND,P. Iyyappan IND,V. Kathiravan IND,L. Kathiresan IND,M. Guheshkumar IND,G. Shanmugam IND,G. Sownthararajan IND,K. Dr.Padmarajan IND,A. Palanisamy IND,J. Balasubramaniam IND,M. Balamurugan IND,M. Murugan IND,G. Lakshmi IND,S. Loganathan IND,A. Stalin IND,Total Valid Votes,Rejected Votes,NOTA,Total Votes
167,133,202,602,3,0,2,0,8,5,0,0,40,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,866,3,0,869
168,134,220,586,3,0,1,0,2,4,0,0,22,1,0,0,5,2,0,0,0,0,0,0,0,0,0,1,1,0,848,4,0,852
169,135,199,623,3,0,0,0,2,2,0,1,10,0,0,0,1,0,2,3,0,0,0,0,0,2,2,1,1,0,852,2,0,854
170,136,172,655,4,0,0,0,1,1,0,0,17,1,1,1,0,0,2,5,2,1,0,0,0,0,0,1,2,3,869,5,0,874
171,137,74,397,3,0,0,0,2,0,0,0,5,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,485,1,0,486
172,138,207,516,3,0,0,0,3,6,1,0,23,1,1,0,2,1,1,3,0,1,0,0,0,1,0,0,0,0,770,4,0,774
173,139,145,555,2,0,0,0,1,7,0,1,20,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,1,1,740,2,0,742
174,140,195,578,4,0,0,1,5,2,0,0,13,2,0,1,4,2,1,3,1,0,0,0,0,0,0,0,0,0,812,1,0,813
175,141M,148,341,1,1,0,0,1,2,0,0,24,1,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,524,1,0,525
176,141A(W),126,315,6,1,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,458,2,0,460
177,142M,160,341,1,0,0,0,2,2,0,0,9,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,521,2,0,523
178,142A(W),134,308,4,2,0,0,0,0,0,0,6,2,1,1,2,2,2,1,1,0,0,0,0,0,0,3,0,2,471,4,0,475
179,143M,155,402,0,0,0,0,1,2,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,579,3,0,582
180,143A(W),120,369,2,0,0,0,1,2,0,2,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,505,1,0,506
181,144,211,619,1,1,2,0,3,1,1,0,25,1,0,1,0,2,0,2,0,0,0,0,0,0,1,3,1,1,876,3,0,879
182,145,223,583,5,1,2,0,2,1,0,0,21,1,0,2,0,0,1,3,0,0,0,0,1,0,0,0,0,0,846,4,0,850
183,146,111,295,0,0,0,1,1,1,0,2,5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,420,1,0,421
184,147,206,508,7,0,1,2,1,1,1,0,36,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,772,4,0,776
185,148,89,546,2,0,0,0,1,0,0,0,10,1,1,0,0,0,3,1,0,0,0,0,0,0,1,1,1,1,658,0,0,658
186,149,196,563,4,3,1,0,4,1,0,0,20,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,799,4,0,803
187,150M,126,348,1,0,0,1,4,1,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,492,3,0,495
188,150A(W),112,317,2,1,1,0,3,0,0,0,4,1,0,3,4,0,1,3,0,0,0,0,0,0,0,1,0,2,455,0,0,455
189,151,160,523,0,1,0,1,3,2,0,3,17,2,2,2,3,3,2,0,0,0,0,0,1,0,0,2,0,1,728,2,0,730
190,152,136,285,1,0,1,0,5,6,0,0,15,1,0,0,1,0,1,0,1,0,0,0,1,1,0,2,0,0,457,4,0,461
191,153,84,623,4,1,1,1,3,1,0,1,12,2,0,2,3,1,1,2,1,0,0,0,0,0,1,1,2,3,750,1,0,751
192,154,225,511,3,2,2,0,3,3,1,2,12,5,0,2,2,2,0,1,0,1,1,0,0,0,0,1,1,2,782,3,0,785
193,155,294,412,6,1,2,0,2,0,0,1,19,1,0,1,0,3,2,2,0,0,0,0,1,0,1,1,0,0,749,3,0,752
194,156,182,332,3,0,0,0,0,0,0,0,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,533,4,0,537
195,157M,168,282,1,0,0,1,3,1,0,0,21,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,0,0,484,0,0,484
196,157A(W),140,296,5,2,0,0,1,0,0,0,2,2,1,0,2,3,5,5,0,0,0,0,0,1,0,3,1,0,469,7,0,476
197,158,236,450,8,0,0,0,5,0,0,1,29,0,0,0,1,2,1,1,0,0,0,0,0,0,1,3,2,1,741,5,0,746
198,159,249,398,6,0,0,0,1,2,0,0,18,0,1,0,2,1,2,1,1,0,0,0,0,0,0,1,0,0,683,3,0,686
199,160,267,430,3,0,0,1,3,5,0,0,23,2,0,0,3,0,2,4,0,0,0,1,0,0,1,0,0,0,745,2,0,747
200,161M,167,266,1,1,1,0,8,2,0,0,25,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,474,0,0,474
201,161A(W),133,300,2,2,1,0,6,2,1,0,4,1,0,0,2,2,4,2,0,0,0,1,0,0,0,2,1,1,467,1,0,468
202,162M,211,246,0,0,0,0,4,0,0,0,16,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,480,0,0,480
203,162A(W),169,266,2,1,0,0,1,0,0,0,2,5,0,1,1,3,2,1,1,0,0,0,0,0,0,0,1,2,458,3,0,461
204,163,398,438,4,1,1,0,4,0,0,0,18,1,0,1,3,7,4,0,1,0,0,0,0,0,0,1,0,0,882,4,0,886
205,164,180,283,3,0,0,0,1,1,0,0,16,0,0,0,3,4,5,2,0,0,0,0,1,0,0,2,0,4,505,5,0,510
206,165,360,419,1,0,1,0,4,3,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,802,3,0,805
207,166,213,497,3,0,0,1,5,3,0,0,21,4,0,3,10,2,1,0,0,0,0,0,0,0,0,1,0,1,765,4,0,769
208,167,313,434,3,0,0,1,4,1,0,0,23,0,0,2,1,3,1,0,0,0,0,0,0,1,0,0,2,0,789,6,0,795
209,168,303,437,7,2,0,0,4,3,0,0,39,0,2,5,0,6,4,4,0,0,1,0,1,0,1,3,5,5,832,5,0,837
210,169,422,300,3,1,1,0,7,1,0,0,26,3,0,2,2,4,1,0,0,0,0,2,1,0,1,6,1,2,786,2,0,788
211,170M,199,270,0,0,1,0,1,4,1,0,29,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,509,3,0,512
212,170A(W),183,320,1,0,0,0,2,0,0,0,12,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,523,1,0,524
213,171M,117,333,0,0,1,0,7,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,473,0,0,473
214,171A(W),126,353,1,0,0,0,4,1,0,0,5,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,495,2,0,497
215,172M,121,379,0,0,0,0,3,0,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,512,2,0,514
216,172A(W),109,404,3,1,0,0,1,0,0,0,0,2,0,1,3,1,1,0,0,0,0,0,0,0,0,2,0,1,529,1,0,530
217,173M,222,234,0,0,0,0,1,0,0,0,16,1,0,0,5,0,0,0,0,1,0,0,0,0,2,1,0,0,483,3,0,486
218,173A(W),231,267,3,0,1,0,4,1,0,2,6,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,521,2,0,523
219,174,189,305,1,0,0,0,2,2,0,0,8,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,511,2,0,513
220,175,145,548,8,1,0,0,2,2,1,0,21,0,0,0,2,2,1,3,1,1,1,0,0,1,2,1,4,2,749,4,0,753
221,176,198,478,0,0,1,0,6,3,1,0,28,2,0,0,1,1,3,1,0,0,0,0,0,0,0,0,2,1,726,3,0,729
222,177,258,494,2,0,0,1,3,2,0,1,15,2,1,1,3,1,1,5,1,1,0,0,1,0,0,3,3,1,800,7,0,807
223,178,175,580,4,2,2,0,1,0,0,0,30,3,0,2,3,6,2,5,0,0,0,0,1,0,2,1,7,1,827,6,0,833
224,179,355,363,2,0,0,0,3,1,0,1,30,4,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,3,768,6,0,774
225,180,194,527,3,0,0,1,8,0,1,0,24,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,1,766,2,0,768
226,181,151,333,1,0,1,0,9,0,1,3,16,2,0,1,0,0,1,3,0,0,0,0,0,0,1,0,1,3,527,1,0,528
227,182,344,465,3,1,1,0,0,2,0,2,12,0,0,2,1,4,1,1,0,0,0,0,0,0,0,1,2,2,844,8,0,852
228,183M,279,224,3,1,0,0,1,8,0,1,24,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,549,4,0,553
229,183A(W),203,237,3,1,0,0,0,4,1,1,10,2,1,2,2,4,3,5,0,0,0,0,0,1,1,0,0,0,481,4,0,485
230,184,137,535,2,0,0,1,2,4,0,0,15,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,702,4,0,706
231,185,118,392,3,0,0,0,0,2,0,0,16,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,536,1,0,537
232,186,230,438,3,1,2,0,2,1,0,0,14,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,698,3,0,701
233,187M,106,484,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,2,0,602
234,187A(W),74,433,1,0,0,0,6,1,1,0,1,2,0,0,4,1,0,2,1,0,0,0,0,0,1,0,0,0,528,0,0,528
235,188M,251,358,1,1,0,0,1,2,0,0,14,0,0,0,1,2,0,2,0,0,0,0,0,0,1,2,1,0,637,1,0,638
236,188A(W),198,376,1,0,2,0,0,0,0,1,5,2,2,0,2,10,0,1,0,0,0,0,0,0,1,1,1,1,604,3,0,607
237,189M,227,295,4,0,2,0,3,10,0,1,34,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,579,2,0,581
238,189A(W),222,346,1,1,0,1,2,8,0,0,6,0,0,0,1,8,0,0,0,0,0,0,1,1,0,0,0,0,598,1,0,599
239,190M,134,390,1,0,0,0,2,0,0,1,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,538,1,0,539
240,190A(W),91,384,1,1,0,0,1,0,0,0,2,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,486,1,0,487
241,191M,193,285,2,2,0,0,3,3,0,0,22,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,1,516,4,0,520
242,191A(W),151,352,1,1,2,0,5,1,0,1,15,1,1,1,4,1,1,3,0,0,0,0,0,0,2,0,0,1,544,1,0,545
243,192M,160,290,1,0,0,0,7,2,0,0,19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,481,3,0,484
244,192A(W),132,312,0,0,0,0,5,1,0,0,7,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,461,1,0,462
245,193M,112,305,1,0,0,0,7,3,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,451,2,0,453
246,193A(W),84,311,2,0,1,1,2,1,0,0,6,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,411,1,0,412
247,194M,114,258,1,0,0,0,8,1,0,0,16,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,401,5,0,406
248,194A(W),80,339,0,0,0,1,5,0,0,0,10,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,439,2,0,441
249,195,127,326,2,2,0,0,9,4,0,1,15,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,493,2,0,495
250,196,127,347,2,0,0,0,9,1,0,0,12,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,503,3,0,506
251,197,100,380,0,1,0,0,6,8,0,0,20,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,519,1,0,520
252,198,201,447,2,0,0,0,6,2,0,0,25,0,0,1,0,1,4,3,0,0,0,0,0,0,0,0,2,2,696,6,0,702
253,199M,213,175,0,0,0,0,7,1,0,0,11,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,411,1,0,412
254,199A(W),211,223,1,0,0,0,2,2,0,0,2,0,0,0,1,1,3,5,0,0,0,0,0,0,0,0,1,0,452,1,0,453
255,200,240,279,1,0,0,0,8,0,0,0,8,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,541,1,0,542
256,201M,137,290,0,0,1,0,9,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,3,0,471
257,201A(W),126,318,3,1,1,0,5,0,0,1,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,467,0,0,467
258,202M,133,250,0,0,1,0,5,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,3,0,420
259,202A(W),112,285,1,0,1,0,5,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,412,2,0,414
260,203M,149,317,1,0,1,0,6,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487,2,0,489
261,203A(W),136,375,1,0,0,0,3,5,0,0,7,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,532,1,0,533
262,204M,176,366,0,0,0,0,10,2,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,571,2,0,573
263,204A(W),121,432,1,0,1,0,3,0,1,0,12,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,577,0,0,577
264,205M,165,321,0,0,0,0,7,4,0,0,20,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,523,6,0,529
265,205A(W),117,418,0,0,0,0,4,0,0,0,7,1,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,1,554,2,0,556
266,206M,182,316,0,0,1,0,3,4,0,1,22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,530,5,0,535
267,206A(W),130,344,2,0,0,0,3,1,0,3,6,1,1,3,3,4,2,0,0,0,0,0,0,0,0,3,0,3,509,4,0,513
268,207M,120,343,2,0,1,0,2,0,0,1,10,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,485,3,0,488
269,207A(W),98,369,5,0,2,0,2,0,1,0,6,1,1,1,6,3,0,3,1,1,0,0,0,0,0,1,0,1,502,3,0,505
270,208,112,259,1,0,0,0,1,6,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,392,3,0,395
271,209M,172,385,1,0,0,0,3,15,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,586,3,0,589
272,209A(W),149,401,2,0,0,1,3,10,0,0,4,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,577,1,0,578
273,210,166,306,2,0,0,0,1,3,0,1,6,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,489,1,0,490
274,211M,182,334,0,0,0,0,0,7,0,0,13,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,0,0,542,3,0,545
275,211A(W),157,318,1,0,0,0,2,2,0,0,2,0,0,1,1,2,3,2,0,0,0,0,0,0,0,0,0,1,492,2,0,494
276,212,155,454,3,0,0,0,0,2,0,0,18,0,0,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0,639,2,0,641
277,213,165,497,0,0,0,0,3,3,0,0,14,1,0,0,5,0,0,3,1,0,0,0,0,0,1,0,0,3,696,3,0,699
278,214,210,579,0,0,0,0,0,10,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,811,4,0,815
279,215,112,446,3,0,0,0,0,6,0,0,4,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,580,0,0,580
280,216M,171,336,1,0,0,0,5,2,0,0,17,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,536,0,0,536
281,216A(W),107,421,3,0,0,1,4,3,0,1,3,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,1,1,552,5,0,557
282,217,287,346,0,0,0,0,15,0,1,0,17,1,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,672,5,0,677
283,218M,172,306,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,3,0,494
284,218A(W),125,333,1,0,0,0,3,4,0,0,7,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,478,1,0,479
285,219,146,168,0,0,0,0,9,2,0,0,12,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,343,2,0,345
286,220,274,464,2,1,0,0,4,5,0,0,16,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,770,4,0,774
287,221,310,431,2,0,1,0,9,1,0,1,15,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,776,8,0,784
288,222,69,126,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,201
289,223M,222,277,1,0,0,0,8,5,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,539,1,0,540
290,223A(W),173,332,1,0,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,518,1,0,519
291,224,250,496,1,0,0,0,5,7,0,1,18,1,0,0,1,1,3,3,0,0,0,0,0,0,0,1,0,1,789,3,0,792
292,225,194,326,3,0,0,0,10,1,0,1,27,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,567,6,0,573
293,226M,186,298,2,0,0,1,2,4,0,1,22,0,0,1,0,1,1,3,0,0,0,0,0,0,1,0,0,0,523,1,0,524
294,226A(W),162,316,2,0,0,0,4,1,0,0,9,1,0,0,1,4,1,2,0,0,0,0,0,0,0,1,0,0,504,3,0,507
295,227,208,303,1,0,0,0,8,6,0,2,16,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,549,3,0,552
296,228,226,540,1,0,0,0,10,5,0,0,35,2,0,0,0,0,1,3,0,0,0,0,0,0,1,1,1,0,826,4,0,830
297,229,188,416,0,0,0,1,5,6,0,1,29,0,0,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,652,4,0,656
298,230M,250,312,2,0,0,0,6,3,0,2,29,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,608,1,0,609
299,230A(W),170,358,0,1,1,0,2,0,0,0,7,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,546,1,0,547
300,231,210,496,3,0,0,0,3,4,0,0,15,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,738,4,0,742
301,232,168,620,6,0,1,1,3,3,0,0,25,0,0,0,0,0,1,3,2,0,0,0,1,0,0,0,0,1,835,2,0,837
302,233,157,572,0,1,0,0,2,1,0,2,14,0,0,0,3,1,1,3,0,0,0,0,1,0,0,2,2,0,762,7,0,769
303,234,154,375,0,1,0,0,1,2,0,1,9,1,0,0,1,1,4,1,1,1,0,0,0,0,0,0,1,1,555,1,0,556
304,235,229,498,3,2,0,0,2,1,0,0,8,0,0,1,0,1,0,1,0,0,0,0,0,0,1,2,0,0,749,5,0,754
305,236,113,550,4,1,0,0,3,2,0,1,8,1,0,0,3,0,1,1,1,0,0,1,0,0,1,1,0,1,693,6,0,699
306,237,289,486,4,0,0,0,2,6,0,1,26,1,0,1,3,3,0,0,0,0,0,0,0,0,3,0,0,0,825,2,0,827
307,238,196,317,0,1,0,0,5,6,0,1,11,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,543,2,0,545
308,239,144,348,1,0,0,0,2,0,0,1,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,508,2,0,510
309,240,185,452,3,0,1,0,5,4,1,0,21,1,0,0,1,3,1,2,0,0,0,0,0,0,2,3,0,0,685,3,0,688
310,241,178,496,0,0,0,0,8,2,0,0,33,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,723,3,0,726
311,242,224,550,0,0,0,1,13,3,0,0,28,0,0,1,1,3,1,3,0,0,0,0,0,0,0,1,0,0,829,5,0,834
312,243,246,591,1,0,0,0,5,2,0,0,9,0,0,1,2,2,0,2,0,1,0,0,0,0,9,0,0,0,871,0,0,871
313,244M,133,345,3,0,0,0,2,1,0,0,18,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,506,1,0,507
314,244A(W),91,338,3,0,0,1,3,0,0,1,5,0,0,0,7,6,0,2,1,0,0,0,0,1,0,0,1,2,462,3,0,465
315,245,223,478,13,0,2,0,0,1,0,0,18,1,1,1,0,6,1,0,0,0,0,0,0,1,0,0,0,3,749,1,0,750
316,246,211,532,3,1,2,0,2,0,0,0,16,3,0,2,4,5,2,1,0,1,0,0,0,0,0,1,2,2,790,3,0,793
317,247,277,294,0,0,0,0,5,3,0,0,22,0,0,1,3,2,2,1,0,0,0,0,0,0,1,0,1,0,612,1,0,613
318,248M,140,421,2,0,1,1,0,2,0,0,15,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,586,1,0,587
319,248A(W),127,382,4,0,1,0,0,1,0,0,6,3,0,1,3,1,2,2,0,0,0,0,0,0,0,1,3,3,540,4,0,544
320,249,325,520,5,0,0,0,6,1,0,0,23,0,0,1,2,1,0,1,0,0,0,0,0,0,0,1,2,0,888,3,0,891
321,250M,185,288,1,1,0,0,1,0,1,0,20,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,501,1,0,502
322,250A(W),117,308,2,1,0,0,1,2,0,0,5,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,445,1,0,446
323,251,194,445,1,0,0,0,1,1,0,0,15,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,663,0,0,663
324,252,192,351,1,0,0,1,0,1,0,0,4,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,1,558,1,0,559
325,253,110,226,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,343
326,254,234,557,4,0,0,0,1,3,0,0,24,0,0,0,1,1,5,3,0,0,1,0,0,0,0,1,0,0,835,4,0,839
327,255,309,477,1,0,0,0,9,0,0,0,28,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,830,2,0,832
328,256M,178,335,3,0,0,0,4,1,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,534,1,0,535
329,256A(W),125,331,3,0,0,1,0,0,0,0,6,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,472,1,0,473
330,257,333,444,3,0,0,0,1,0,0,0,30,0,1,0,1,0,4,2,0,0,0,0,0,0,1,0,1,0,821,5,0,826
331,258M,195,311,0,0,0,0,5,0,0,0,20,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,535,2,0,537
332,258A(W),130,331,3,0,0,0,1,1,0,0,6,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,475,0,0,475
333,259,264,371,2,2,0,0,0,7,0,0,12,0,0,3,6,2,2,0,0,0,0,0,0,0,0,1,0,0,672,3,0,675
334,260,147,458,4,2,0,0,1,1,1,0,19,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,3,1,641,6,0,647
335,261,197,405,1,1,0,0,3,2,0,1,22,2,0,1,1,3,1,3,0,0,0,0,1,0,1,0,2,1,648,8,0,656
336,262,165,267,3,1,0,0,1,1,0,1,4,1,0,1,1,4,0,1,0,2,0,0,0,0,1,1,0,0,455,8,0,463
337,263,203,623,6,0,0,1,1,5,0,0,24,1,0,0,1,1,4,1,0,1,0,0,0,0,0,0,1,1,874,5,0,879
338,264,162,485,0,0,0,0,1,2,0,0,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,670,4,0,674
339,265,149,646,5,0,0,0,2,0,0,0,19,1,1,3,3,4,0,2,0,0,0,0,0,1,0,0,0,2,838,2,0,840
340,266,214,437,3,0,0,1,3,0,1,1,8,1,0,2,5,2,2,3,0,0,0,0,0,0,0,1,0,0,684,2,0,686
341,267,142,515,6,1,2,0,0,0,0,0,0,16,1,0,0,1,0,2,3,0,0,0,0,0,0,1,3,1,694,3,0,697
342,268,230,419,3,0,0,0,2,1,0,0,12,1,0,0,3,0,1,0,1,0,0,0,0,0,0,3,0,1,677,8,0,685
343,269,235,629,2,0,0,0,1,0,0,1,13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,885,10,0,895
344,270,136,472,7,0,0,0,2,3,1,1,14,2,0,1,0,5,0,3,0,0,0,0,0,2,0,1,0,0,650,5,0,655
345,271,154,519,8,0,0,1,2,2,0,0,14,0,0,2,5,7,2,3,1,0,1,0,0,1,0,0,4,0,726,3,0,729
346,272,211,562,3,2,0,0,5,5,0,1,17,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,813,0,0,813
347,273,122,416,3,1,0,0,2,0,0,0,17,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,2,571,4,0,575
348,274,157,465,6,0,0,0,1,1,0,0,42,1,2,1,4,2,2,0,0,0,0,0,0,0,0,1,0,1,686,2,0,688
349,275,104,462,1,2,1,1,1,1,0,0,15,0,0,3,0,3,4,2,0,0,0,0,0,0,0,0,4,3,607,2,0,609
350,276,100,409,1,0,0,1,0,2,0,0,12,2,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,534,2,0,536
351,277,187,397,8,3,1,0,0,2,0,1,19,1,1,2,2,7,4,1,1,0,0,0,0,0,1,1,1,0,640,6,0,646
352,278,207,443,1,0,1,0,3,1,0,1,40,2,0,0,2,1,2,2,0,0,0,0,0,1,1,1,1,1,711,4,0,715
353,279,137,404,1,1,0,0,0,2,0,1,12,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,561,3,0,564
354,280M,131,326,1,0,1,0,4,2,0,1,59,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,530,4,0,534
355,280A(W),124,373,4,0,0,0,5,1,0,1,15,1,1,0,4,3,0,2,0,0,0,0,1,0,0,1,1,1,538,5,0,543
356,281,233,419,2,0,0,0,1,2,0,0,44,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,705,2,0,707
357,282,231,651,0,1,0,0,4,2,0,0,15,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,911,3,0,914
358,283,191,390,1,1,1,0,5,0,0,0,28,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,620,1,0,621
359,284,217,571,4,0,0,0,2,6,0,0,17,2,0,0,3,3,1,1,0,0,0,0,0,0,1,1,2,0,831,6,0,837
360,285,80,265,1,1,0,0,4,2,0,0,9,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,366,2,0,368
361,286M,229,361,1,1,0,0,0,8,0,0,31,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,636,2,0,638
362,286A(W),166,373,1,0,0,0,1,0,0,0,5,1,0,0,6,3,0,1,0,0,0,0,0,0,0,0,3,2,562,0,0,562
363,287,187,352,1,0,0,0,8,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,563,1,0,564
