Sl. No,Polling Station No,K NEELAMEGAM SAMAJ BAHUJAN PARTY,@ SORNALATHA G LATHA JANAYAKA KATCHI INDIYA,A NATARAJAN DRAVIDAR KAZHAGAM ANNA,K BALU MAKKAL KATCHI PATTALI,NEELA MAHALINGAM TAMILAR KATCHI NAAM,K V KESAVARAJAN INDEPENDENT,R SATHISKUMAR INDEPENDENT,A MARTIN SAMUVEL INDEPENDENT,K SUDARVIZHI INDEPENDENT,R SEDHURAMAN INDEPENDENT,S RAJKUMAR INDEPENDENT,Number Round,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
59,47(A),273,2,4,11,0,143,34,6,2,1,0,0,3,4,483,0,483,0,
60,48,352,0,2,32,1,295,48,5,0,5,0,1,2,6,749,0,749,0,
61,49,637,5,5,2,1,53,64,1,0,1,1,0,2,9,781,0,781,0,
62,50,105,0,1,22,1,204,6,0,0,0,0,0,0,4,343,0,343,0,
63,51,218,2,3,104,0,447,18,10,1,0,0,1,3,4,811,0,811,0,
64,52,255,0,3,29,0,125,27,1,2,3,0,1,2,6,454,0,454,0,
65,52(A),293,1,2,10,2,133,9,3,3,3,0,2,6,9,476,0,476,0,
66,53,93,0,0,3,0,251,6,1,0,0,1,0,1,0,356,0,356,0,
67,54,244,0,1,8,1,173,17,1,1,0,1,1,1,3,452,0,452,0,
68,54(A),248,1,3,4,1,206,7,3,0,0,0,0,2,6,481,0,481,0,
69,55,242,1,4,27,2,507,10,7,1,0,0,2,0,3,806,0,806,0,
70,56,454,5,6,8,0,178,19,1,0,1,0,5,5,8,690,0,690,0,
71,57,438,0,1,14,0,157,95,2,1,5,1,1,1,11,727,0,727,0,"6
:oN
dnuoR"
72,58,184,1,1,8,0,240,18,5,1,0,1,0,1,2,462,0,462,0,
73,59,470,2,3,50,1,124,51,3,0,1,1,0,1,6,713,0,713,0,
74,60,274,2,9,4,1,128,28,6,2,0,0,0,0,3,457,0,457,0,
75,60(A),319,3,4,4,0,112,10,4,0,0,0,1,3,3,463,0,463,0,
76,61,528,0,12,4,0,201,69,4,0,1,0,2,1,1,823,0,823,0,
77,62,498,1,2,19,1,114,34,0,1,1,0,0,1,6,678,0,678,0,
78,63,509,2,8,9,3,87,26,2,1,0,1,0,2,6,656,0,656,0,
79,64,224,2,2,8,1,229,16,1,2,0,0,1,1,0,487,0,487,0,
80,65,339,0,6,14,0,232,46,3,0,4,1,1,2,11,659,0,659,0,
81,66,183,0,4,20,0,162,47,1,0,1,2,0,0,4,424,0,424,0,
82,66(A),223,2,8,9,1,155,28,5,0,0,1,0,1,7,440,0,440,0,
83,67,348,1,3,45,2,293,48,7,0,1,2,0,6,16,772,0,772,0,
84,68,292,2,8,4,0,152,14,3,0,3,0,0,1,4,483,0,483,0,
85,69,219,0,2,13,1,146,53,1,0,2,0,0,1,3,441,0,441,0,"7
:oN
dnuoR"
86,69(A),207,0,3,5,2,188,21,8,1,0,1,1,4,6,447,0,447,0,
87,70,230,1,8,5,1,103,34,1,0,1,0,0,0,7,391,0,391,0,
88,70(A),254,1,3,7,0,125,16,3,0,0,1,2,3,11,426,0,426,0,
89,71,206,0,4,6,0,105,23,3,0,0,0,0,0,4,351,0,351,0,
90,72,449,1,5,17,2,249,54,2,1,18,0,1,1,11,811,0,811,0,
91,73,151,0,7,18,2,279,11,3,0,2,0,0,2,2,477,0,477,0,
92,74,448,1,2,2,1,85,42,3,0,5,0,0,0,3,592,0,592,0,
93,75,355,0,3,1,0,27,35,0,0,10,0,0,0,4,435,0,435,0,
94,75(A),392,1,1,0,0,33,20,1,0,4,1,2,1,12,468,0,468,0,
95,76,342,1,4,14,3,180,53,2,1,4,1,2,3,7,617,0,617,0,
