Sl. No,Polling Station No,"M.SUBRAMANIAN,(Alias)RAVICPI","M. SELVAKUMAR, DMDK","K.N. VIJEYAKUMAR, AIADMK","B. ALAGUSUNDARAM, KDA","S.EASWARAN,NTK","S.SIVABALAN,MNM","V. SENTHILKUMAR, MDATPA K","K. DEIVASIGAMANI, KMTE","S. UDHAYAKUMAR, IND","T.N. SENTHILKUMAR, IND","R. SENTHILKUMAR, IND","A. SENTHILVEL, IND","S. MURUGAPANDI, IND","M.RANGASAMY,IND",Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
59,43,0,123,5,279,0,22,16,0,0,0,0,1,0,1,0,447,0,8,455,0
60,43A,0,114,3,183,0,47,20,0,0,0,0,0,0,1,0,368,0,3,371,0
61,44,0,124,1,194,1,32,27,1,0,1,0,0,1,0,1,383,0,1,384,0
62,44A,1,102,7,215,2,36,18,0,0,1,0,1,0,1,0,384,0,1,385,0
63,45,2,146,3,191,1,66,27,0,1,0,0,0,0,0,0,437,0,5,442,0
64,45A,0,124,8,138,1,42,28,1,1,0,0,0,1,0,1,345,0,4,349,0
65,46,2,129,7,206,1,51,27,0,0,0,1,0,0,0,0,424,0,1,425,1
66,47,1,127,5,316,4,31,15,1,0,0,0,0,1,3,0,504,0,6,510,0
67,47A,2,139,6,314,2,59,34,0,0,0,0,0,1,0,2,559,0,9,568,0
68,48,0,121,6,275,2,32,26,0,0,0,0,1,0,0,1,464,0,4,468,0
69,49,2,240,7,407,8,85,69,0,0,1,0,0,1,1,1,822,0,9,831,0
70,50,8,175,8,441,4,61,38,0,0,0,0,0,0,0,1,736,0,6,742,0
71,51,2,130,7,343,2,60,24,0,0,0,0,0,2,0,2,572,0,6,578,0
72,52,6,169,10,357,2,41,13,0,1,0,0,0,1,2,2,604,0,6,610,0
73,53,0,127,3,293,2,49,17,0,0,0,0,0,1,2,3,497,0,4,501,0
74,53A,5,143,4,273,1,63,40,0,0,0,0,0,0,0,0,529,0,4,533,0
75,54,1,191,6,351,0,84,34,0,2,0,0,1,0,0,0,670,0,11,681,0
76,55,0,180,3,177,0,65,31,0,0,0,1,1,0,1,0,459,0,7,466,0
77,55A,0,216,6,108,0,67,16,0,0,0,0,0,2,0,0,415,0,2,417,0
78,56,0,174,6,122,0,67,27,0,0,1,0,0,0,1,2,400,0,0,400,0
79,56A,2,164,6,108,0,40,21,0,0,0,0,0,0,0,0,341,0,4,345,0
80,57,0,243,9,271,3,68,40,8,0,0,1,1,1,0,1,646,0,10,656,0
81,58,0,113,1,211,2,22,37,0,1,0,0,0,1,0,0,388,0,3,391,0
82,58A,0,102,4,215,2,67,34,1,0,1,0,0,0,0,1,427,0,6,433,0
83,59,0,94,3,206,0,37,38,0,0,1,0,0,0,0,1,380,0,7,387,0
84,59A,1,115,7,170,0,55,34,1,0,0,0,0,1,1,0,385,0,3,388,0
85,60,0,138,10,276,0,70,50,0,0,1,0,0,0,0,2,547,0,5,552,0
