Sl. No,Polling Station No,K.YHTAPANAG DMK,SANTHAKUMAR.Y BSP,BENJAMIN.P AIADMK,LAVANYA.P NCP,GANESHKUMAR.G NTK,SHANMUGAM.K TNLK,SUMITHRA.R BDP,MARY.B STELLA NEVIS AMAK,PRIYA.S PADMA MNM,MUTHURAMAN.S AMGRDMK,MURUGAN.E LUCKY AMMK,ABARAJITHAN.R IND,AMALRAJ.S IND,ARUNKUMAR.A IND,GANAPATHY.R IND,SELVAKUMAR.V IND,PRIYA.K IND,MOSES.S BENJAMIN IND,MURUGAN.D IND,RAVI.C.VIND,Total Valid Votes,Rejected Votes,Total Votes
232,157,180,1,209,1,53,0,0,0,56,0,9,0,0,0,1,0,2,0,0,1,513,0,0,513
233,158M,239,0,111,0,55,2,0,0,38,0,5,0,0,0,1,0,0,0,0,0,451,0,4,455
234,158A(W),207,0,136,1,41,2,0,1,41,0,5,1,1,0,0,0,1,0,0,1,438,0,1,439
235,159,325,3,184,0,58,1,0,0,45,0,5,2,0,0,0,3,1,0,0,1,628,0,5,633
236,160,327,0,241,0,47,1,0,0,50,1,11,0,0,1,0,0,0,0,3,0,682,0,5,687
237,161,297,0,148,0,50,2,0,0,67,0,1,0,0,0,0,2,1,0,0,0,568,0,6,574
238,162,291,2,134,0,62,1,0,0,64,0,2,0,0,0,0,0,1,0,0,0,557,0,2,559
239,163 M,227,0,103,1,43,0,0,0,22,0,2,0,0,0,0,2,1,0,0,0,401,0,2,403
240,163 A(W,) 245,1,123,3,24,0,0,0,18,1,2,3,0,1,0,4,3,0,1,0,429,0,0,429
241,164,285,0,175,0,46,0,0,0,64,0,4,0,0,0,0,2,2,0,0,0,578,0,4,582
242,165 M,197,0,93,0,46,0,0,0,46,0,4,0,0,0,0,0,0,0,0,0,386,0,4,390
243,165 A(W,) 191,0,108,1,32,1,0,0,35,0,1,1,0,0,0,0,1,0,0,0,371,0,2,373
244,166 M,167,0,88,0,38,0,0,0,50,0,6,0,0,0,0,0,0,0,0,0,349,0,3,352
245,166 A(W,) 143,0,104,1,15,1,0,0,42,0,8,0,1,0,0,0,1,0,2,0,318,0,1,319
246,167,248,0,96,0,41,0,0,0,65,0,3,0,0,0,0,1,1,0,0,0,455,0,3,458
247,168,274,0,175,3,50,2,0,1,54,1,6,1,0,0,0,1,0,0,0,0,568,0,5,573
248,169,276,2,187,0,39,3,0,0,45,0,6,1,1,0,0,2,1,0,0,0,563,0,4,567
249,170 M,214,0,124,0,40,0,0,1,48,0,16,0,0,4,0,0,1,0,0,0,448,0,4,452
250,170 A(W,) 194,0,146,1,27,1,0,0,32,0,12,0,0,2,1,0,0,2,1,0,419,0,5,424
251,171 M,185,1,118,0,32,2,0,0,21,0,10,0,0,0,0,0,1,0,0,0,370,0,3,373
252,171 A(W,) 191,1,143,1,16,1,0,0,23,0,10,1,2,0,1,1,2,0,1,0,394,0,1,395
253,172,231,0,142,1,29,0,0,0,64,0,1,1,0,0,0,1,4,0,0,0,474,0,6,480
254,173,268,1,143,1,49,0,0,1,34,0,1,0,0,1,0,2,2,0,0,0,503,0,4,507
255,174 M,235,0,121,1,44,1,0,0,28,0,2,0,0,0,0,0,0,1,0,0,433,0,4,437
256,174 A(W,) 199,0,140,0,28,0,0,0,26,1,4,0,1,1,0,0,3,1,0,0,404,0,1,405
257,175,215,1,148,2,25,0,1,0,29,0,9,0,0,0,0,0,0,0,0,1,431,0,4,435
258,176,258,1,145,1,47,0,0,1,82,0,4,0,0,0,0,0,3,1,0,0,543,0,5,548
259,177 M,191,1,110,1,37,2,0,0,41,0,5,0,0,0,0,0,0,0,0,0,388,0,1,389
260,177 A(W,) 155,0,130,0,26,2,0,0,39,0,3,0,0,0,0,1,2,0,1,0,359,0,2,361
261,178 M,208,1,189,1,39,1,0,0,27,0,9,0,0,0,0,1,1,0,0,0,477,0,3,480
262,178 A(W,) 171,1,196,0,25,1,0,0,22,0,13,0,1,1,1,0,3,0,1,0,436,0,1,437
263,179 M,194,1,136,0,45,1,0,0,42,0,3,0,0,0,0,0,2,0,0,0,424,0,3,427
264,179 A(W,) 163,1,145,1,27,1,1,0,45,0,0,0,0,1,0,1,2,1,0,0,389,0,1,390
265,180 M,202,0,116,0,53,0,0,0,60,0,6,0,0,0,1,0,0,0,0,0,438,0,7,445
266,180 A(W,) 179,0,104,0,32,1,0,0,68,0,1,0,0,0,0,0,1,1,0,0,387,0,3,390
267,181 M,178,0,103,0,34,1,0,0,42,0,5,1,0,0,0,0,0,0,0,1,365,0,0,365
268,181 A(W,) 158,0,141,0,21,0,0,0,37,0,1,0,0,0,0,0,1,0,1,0,360,0,2,362
269,182 M,152,0,137,1,52,1,0,0,35,0,4,0,0,0,0,0,0,0,0,0,382,0,3,385
270,182 A(W,) 144,2,171,0,26,0,0,0,29,0,4,1,0,1,0,0,1,1,0,0,380,0,3,383
271,183,243,1,198,1,51,0,0,0,41,0,1,1,0,2,0,0,1,0,1,0,541,0,6,547
272,184,226,0,206,0,38,1,0,1,26,0,3,0,0,0,1,0,0,0,0,0,502,0,4,506
273,185 M,136,0,137,0,35,1,0,0,46,0,1,0,0,0,0,0,0,0,0,0,356,0,4,360
274,185 A(W,) 123,0,134,0,9,2,0,0,54,0,2,0,1,0,0,0,0,1,1,0,327,0,4,331
275,186 M,129,0,136,0,30,0,0,0,54,0,3,1,0,0,0,1,1,0,0,0,355,0,4,359
276,186 A(W,) 113,1,118,0,14,0,0,1,42,0,2,0,0,0,0,0,0,0,0,1,292,0,7,299
277,187,216,0,201,2,46,0,0,0,84,0,7,0,0,0,0,0,3,0,0,0,559,0,0,559
278,188 M,198,0,127,0,36,2,0,0,47,0,7,0,0,0,1,0,0,0,1,0,419,0,3,422
279,188 A(W,) 182,0,146,0,32,2,0,1,56,0,2,0,0,0,0,1,1,3,0,0,426,0,4,430
280,189,206,1,115,0,60,2,0,0,86,0,17,1,0,0,0,0,0,0,0,0,488,0,2,490
281,190,284,1,196,3,38,1,2,0,80,0,15,1,0,0,0,1,2,0,1,0,625,0,5,630
282,191M,145,0,118,2,41,0,1,0,40,0,7,0,0,0,0,1,1,0,1,0,357,0,2,359
283,191 A(W,) 124,0,135,0,20,1,0,1,52,0,4,0,0,0,0,0,0,0,1,0,338,0,3,341
284,192,241,1,173,0,32,2,0,0,33,0,4,0,0,0,0,0,2,1,0,0,489,0,7,496
285,193 M,137,0,135,0,26,2,0,0,63,0,4,0,0,0,1,0,2,0,0,0,370,0,5,375
286,193 A(W,) 140,0,133,0,16,0,0,0,64,0,4,0,0,0,0,0,2,1,1,0,361,0,3,364
287,194 M,123,0,110,0,25,1,0,0,31,0,10,0,0,0,0,0,0,0,0,0,300,0,2,302
288,194 A(W,) 134,0,122,1,14,1,0,0,31,0,3,0,0,0,0,0,1,0,0,0,307,0,1,308
289,195 M,191,1,128,0,40,0,0,0,86,0,5,0,0,1,0,0,2,0,0,0,454,0,4,458
290,195 A(W,) 185,0,131,0,24,0,0,0,79,0,5,0,0,0,0,0,3,0,1,1,429,0,5,434
291,196M,221,0,118,1,52,0,2,1,37,0,3,1,0,0,0,0,0,0,0,0,436,0,3,439
292,196A(W),226,0,140,1,26,0,0,0,55,0,2,0,0,0,0,1,1,0,0,0,452,0,4,456
293,197,159,2,151,0,26,0,1,0,91,0,5,0,0,0,0,0,0,0,0,0,435,0,4,439
294,198,173,0,198,0,31,1,0,0,127,0,5,0,0,0,0,0,1,0,0,0,536,0,8,544
295,199,161,2,142,1,34,0,0,0,43,0,3,1,0,1,0,1,1,0,0,0,390,0,7,397
296,200,269,10,186,1,55,0,0,0,83,0,2,0,0,0,0,1,1,2,0,0,610,0,3,613
297,201,312,21,164,1,20,0,0,0,31,0,1,0,0,1,0,2,1,0,2,0,556,0,3,559
298,202,399,88,140,0,28,0,0,0,19,0,5,0,1,0,0,0,2,0,1,1,684,0,5,689
299,203,238,13,110,0,29,1,0,0,49,0,0,0,0,1,0,0,0,0,0,0,441,0,4,445
300,204,195,0,161,3,33,1,0,0,46,1,6,0,0,0,0,0,0,0,1,0,447,0,2,449
301,205,224,1,172,0,35,0,0,0,61,0,2,0,0,0,0,1,1,0,0,0,497,0,1,498
302,206 M,197,1,112,0,29,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,355,0,0,355
303,206 A(W,) 183,2,152,2,7,0,0,0,7,0,0,0,0,1,1,0,0,0,1,0,356,0,2,358
304,207,208,5,177,0,36,0,0,0,31,0,4,2,1,1,1,1,1,0,1,0,469,0,3,472
305,208,258,1,117,0,28,0,0,0,55,0,2,0,0,0,1,0,1,0,1,0,464,0,4,468
306,209,220,0,120,1,21,2,0,0,45,0,2,0,0,0,0,0,0,0,0,0,411,0,2,413
307,210,225,2,113,1,24,5,0,0,56,0,5,0,0,0,1,1,0,0,0,0,433,0,4,437
308,211 M,157,0,105,1,32,5,0,0,62,0,2,1,0,0,0,1,1,0,1,0,368,0,2,370
309,211A(W),133,2,108,1,20,5,0,0,68,0,4,0,0,0,0,1,2,0,0,0,344,0,4,348
310,212,160,1,98,1,12,0,0,0,44,0,2,0,0,0,0,0,1,0,0,0,319,0,7,326
311,213,241,2,178,0,53,0,0,0,76,1,7,0,0,1,0,0,1,1,0,0,561,0,5,566
312,214 M,172,0,95,0,26,1,0,0,43,1,0,0,0,0,0,0,1,0,1,0,340,0,2,342
313,214 A(W,) 154,2,96,0,16,2,0,0,36,0,0,0,0,0,0,1,1,0,0,0,308,0,3,311
314,215,202,0,120,0,23,0,0,2,48,0,4,0,0,0,0,0,1,1,0,0,401,0,3,404
315,216,248,0,160,0,14,0,0,1,56,0,3,0,0,0,0,0,0,0,1,0,483,0,6,489
316,217 M,194,9,118,0,47,6,0,0,40,0,13,0,0,0,0,0,0,0,0,0,427,0,5,432
317,217 A(W,) 170,6,138,0,25,3,0,0,43,0,10,0,0,0,0,1,2,0,0,0,398,0,2,400
318,218 M,175,0,103,0,45,7,0,0,34,0,12,0,0,0,0,0,0,0,0,0,376,0,1,377
319,218 A(W,) 182,0,124,1,16,2,0,0,25,1,17,1,0,0,0,0,0,1,0,0,370,0,0,370
320,219 M,145,0,111,1,34,1,0,0,45,0,1,0,0,0,0,0,1,0,0,0,339,0,2,341
321,219 A(W,) 148,0,135,0,17,1,0,0,50,0,1,0,0,0,1,1,3,0,0,0,357,0,2,359
322,220,287,1,233,1,61,2,0,0,59,0,3,0,0,0,0,0,0,0,0,0,647,0,5,652
323,221,264,0,169,0,32,0,0,0,27,0,2,0,0,0,0,1,0,0,0,0,495,0,2,497
324,222,307,7,196,2,58,3,0,0,86,0,25,0,0,2,0,1,1,0,1,0,689,0,4,693
325,223,308,0,209,2,39,3,1,0,72,0,10,0,0,0,0,0,1,0,1,0,646,0,6,652
326,224 M,197,0,130,1,44,1,0,0,42,0,6,0,0,0,1,1,0,0,0,0,423,0,3,426
327,224 A(W,) 175,1,155,0,24,2,0,0,47,0,3,0,0,0,0,0,0,0,0,0,407,0,1,408
328,225 M,197,2,108,0,48,3,0,0,46,0,9,1,0,0,0,0,1,1,0,0,416,0,1,417
329,225 A(W,) 165,0,152,1,26,3,0,0,43,0,10,1,0,0,0,0,2,0,3,0,406,0,2,408
330,226 M,160,0,134,1,44,7,0,0,24,0,9,0,0,0,1,0,0,0,0,0,380,0,0,380
331,226 A(W,) 167,0,162,1,20,8,0,0,22,0,3,0,0,0,0,0,1,1,0,0,385,0,2,387
332,227M,210,1,153,0,64,4,0,0,42,0,4,0,0,0,0,0,0,0,1,0,479,0,2,481
333,227 A(W,) 184,1,164,0,40,2,0,0,31,0,2,1,0,0,1,0,0,0,0,0,426,0,0,426
334,228,189,0,194,0,41,3,1,0,70,1,0,0,0,0,0,0,1,0,0,0,500,0,4,504
335,229,206,0,179,0,36,5,0,0,89,0,2,0,0,0,0,0,4,0,0,0,521,0,4,525
336,230 M,202,1,127,1,35,0,0,0,99,0,5,0,0,0,0,0,0,0,1,0,471,0,6,477
337,230 A(W,) 165,1,131,0,22,3,0,0,88,0,0,0,0,0,0,0,0,0,0,0,410,0,4,414
338,231 M,126,0,73,0,31,1,0,0,57,0,4,0,0,0,0,1,0,1,0,0,294,0,4,298
339,231 A(W,) 110,0,70,0,9,1,0,1,56,1,3,1,0,0,0,0,1,0,1,0,254,0,3,257
340,232,244,0,158,0,43,5,0,1,93,0,15,0,0,0,1,0,2,0,0,0,562,0,1,563
341,233,149,0,161,0,15,3,1,0,62,0,3,0,0,0,0,1,2,1,0,0,398,0,6,404
342,234,188,0,133,0,22,0,1,0,120,0,2,0,0,1,0,1,2,0,0,0,470,0,2,472
343,235,140,0,158,0,18,2,0,1,97,0,2,0,0,0,0,0,2,0,0,0,420,0,4,424
344,236,188,0,148,0,46,3,0,1,116,0,1,0,0,0,0,0,1,0,0,0,504,0,7,511
345,237 M,173,1,125,0,31,2,0,1,43,1,3,0,1,0,0,0,0,0,0,0,381,0,4,385
346,237 A(W,) 160,0,129,1,15,0,0,0,39,1,1,2,0,0,0,1,1,0,0,0,350,0,3,353
347,238,164,1,221,0,24,1,0,0,115,0,5,0,0,0,0,0,1,1,0,0,533,0,3,536
348,239 M,156,0,133,1,17,2,0,0,71,0,3,0,0,0,0,1,0,1,0,0,385,0,4,389
349,239A(W),134,0,154,0,14,0,0,0,64,0,2,0,0,0,0,0,3,3,0,0,374,0,2,376
350,240 M,194,1,150,1,39,1,0,0,45,0,2,0,1,0,0,0,1,0,0,0,435,0,6,441
351,240 A(W,) 203,2,151,1,17,1,0,0,39,0,1,2,1,0,0,1,3,0,0,0,422,0,3,425
352,241 M,139,1,126,1,28,2,0,0,48,0,1,0,0,0,0,0,1,1,0,0,348,0,1,349
353,241 A(W,) 154,1,137,1,19,0,1,0,43,0,2,0,0,0,0,1,1,0,1,0,361,0,3,364
354,242,245,0,178,2,30,0,0,1,96,1,5,0,0,0,0,0,0,0,0,0,558,0,4,562
355,243,250,1,157,6,36,2,0,0,51,0,6,0,0,0,0,0,2,0,0,0,511,0,2,513
356,244,240,1,169,1,74,4,0,0,46,0,7,0,0,0,0,0,3,0,0,1,546,0,7,553
357,245,258,2,243,3,92,9,0,1,61,0,7,0,0,1,1,0,2,0,1,0,681,0,7,688
358,246 M,174,0,132,1,71,1,0,0,26,0,11,1,0,0,0,0,0,0,0,0,417,0,9,426
359,246 A(W,) 170,2,152,0,29,3,0,1,32,0,10,1,0,0,0,0,1,0,0,0,401,0,1,402
360,247 M,160,0,121,0,72,2,1,0,35,0,3,0,0,0,0,1,1,0,0,0,396,0,2,398
361,247 A(W,) 164,1,107,1,50,4,0,0,26,0,4,0,0,0,0,0,1,0,0,0,358,0,1,359
362,248,166,1,148,1,47,1,0,1,44,0,10,0,0,1,0,0,2,0,1,0,423,0,3,426
363,249,249,0,167,0,71,3,0,0,49,0,8,0,0,0,1,0,1,0,0,0,549,0,4,553
364,250,244,1,177,2,79,3,0,0,56,0,3,0,1,0,1,1,3,0,0,0,571,0,4,575
365,251,231,2,158,0,52,0,0,0,68,0,1,0,0,0,0,1,0,0,1,0,514,0,5,519
366,252,257,0,222,2,78,14,0,0,30,0,5,0,1,0,1,0,0,0,1,0,611,0,3,614
367,253,222,0,187,0,71,2,0,0,29,0,1,0,0,0,0,1,2,1,0,0,516,0,5,521
368,254 M,135,2,113,0,37,3,1,0,38,0,0,0,0,0,0,0,0,0,0,0,329,0,2,331
369,254 A(W,) 124,1,135,0,19,1,0,0,38,0,2,0,0,0,0,1,0,0,0,0,321,0,2,323
370,255 M,209,1,156,0,45,1,0,0,42,0,15,0,0,0,0,0,2,0,0,0,471,0,6,477
371,255 A(W,) 186,2,182,0,35,1,0,2,47,0,11,0,0,1,0,0,3,0,0,0,470,0,1,471
372,256 M,141,0,98,1,15,3,0,0,52,0,1,0,0,0,0,0,0,1,0,0,312,0,6,318
373,256 A(W,) 124,0,111,1,11,1,0,0,64,0,0,0,0,0,0,0,2,0,0,0,314,0,4,318
374,257 M,179,1,113,0,48,3,0,0,22,0,4,0,0,0,0,0,0,0,1,1,372,0,4,376
375,257 A(W,) 173,3,129,3,30,2,0,0,26,0,1,1,1,1,1,0,1,0,1,0,373,0,2,375
376,258 M,196,0,123,0,56,0,0,0,25,0,4,0,0,0,0,0,0,0,0,0,404,0,3,407
377,258 A(W,) 185,2,152,2,38,1,0,0,26,0,2,0,0,1,0,2,3,0,0,0,414,0,1,415
378,259,300,1,218,1,58,0,0,0,34,0,8,0,0,1,0,1,0,0,1,1,624,0,4,628
379,260,214,1,156,1,71,2,0,0,32,0,4,0,0,0,1,1,1,0,0,0,484,0,4,488
380,261,224,6,224,0,70,0,0,0,36,0,3,0,0,0,0,0,2,0,0,0,565,0,0,565
381,262 M,113,0,110,0,31,1,0,0,25,0,4,0,0,0,0,1,0,0,1,0,286,0,2,288
382,262 A(W,) 117,1,129,3,23,2,0,0,14,1,3,0,0,0,1,0,0,0,0,0,294,0,0,294
383,263,186,1,228,0,51,1,0,0,48,0,10,0,0,1,0,0,2,0,1,0,529,0,1,530
384,264,188,0,268,1,38,0,0,0,28,0,6,0,0,0,0,0,1,0,0,0,530,0,3,533
385,265,218,0,235,0,47,1,0,0,41,0,2,0,0,1,1,1,0,0,1,0,548,0,4,552
386,266 M,201,1,113,1,45,0,0,0,29,0,3,0,0,0,0,1,0,0,0,0,394,0,6,400
387,266 A(W,) 213,3,161,0,34,0,0,0,38,0,3,1,1,0,0,1,1,0,1,0,457,0,3,460
388,267,264,3,281,2,56,1,0,0,42,0,4,1,0,0,0,1,0,0,1,0,656,0,5,661
389,268 M,209,1,163,0,55,3,0,1,57,0,2,0,0,1,0,1,0,0,0,0,493,0,4,497
390,268 A(W,) 201,0,221,2,29,3,0,1,56,0,5,0,0,1,0,0,1,0,1,0,521,0,1,522
391,269 M,197,2,130,0,26,1,1,0,26,0,4,0,0,1,0,0,1,0,0,0,389,0,3,392
392,269 A(W,) 204,3,157,2,12,2,0,0,28,0,5,0,0,1,1,2,0,0,1,0,418,0,1,419
393,270 M,230,2,173,0,52,4,0,0,31,0,6,0,0,0,0,0,0,0,0,0,498,0,4,502
394,270 A(W,) 226,0,195,2,30,2,0,0,25,0,5,1,0,0,0,0,2,1,1,0,490,0,0,490
395,271,183,1,132,0,41,1,0,0,72,0,3,1,0,0,0,0,0,0,0,0,434,0,5,439
396,272,218,1,133,2,37,2,0,0,106,0,4,1,0,0,0,0,2,0,0,0,506,0,6,512
397,273,239,0,215,1,40,3,0,0,109,0,2,0,0,0,0,1,0,0,0,0,610,0,5,615
398,274 M,146,0,151,0,32,1,0,0,45,0,3,0,0,0,0,0,0,0,0,0,378,0,2,380
399,274 A(W,) 123,0,181,0,18,1,0,0,43,0,5,0,0,0,0,1,1,0,0,0,373,0,2,375
400,275 M,173,0,75,0,33,0,0,0,64,0,3,0,0,0,0,0,3,0,0,0,351,0,4,355
401,275 A(W,) 145,0,79,0,15,0,0,0,62,1,1,0,0,0,0,0,0,1,0,0,304,0,0,304
402,276,269,14,245,3,51,1,0,0,42,0,2,0,0,0,0,1,2,1,3,1,635,0,4,639
403,277,220,1,219,0,50,2,0,0,40,0,1,0,0,0,0,3,0,0,1,0,537,0,2,539
404,278,211,1,227,0,59,3,0,0,25,0,3,0,0,2,0,1,0,0,2,0,534,0,2,536
405,279,183,0,194,1,56,1,0,0,23,0,2,0,0,0,0,2,1,0,1,0,464,0,1,465
406,280,258,2,164,0,27,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,481,0,3,484
407,281 M,183,1,127,0,31,0,0,0,44,0,2,0,0,0,0,1,1,0,0,0,390,0,1,391
408,281 A(W,) 210,3,145,2,20,0,0,0,37,0,7,0,0,0,1,3,0,0,1,0,429,0,5,434
409,282 M,197,2,105,1,37,2,0,0,36,0,7,0,0,1,0,0,0,0,1,0,389,0,5,394
410,282 A(W,) 197,4,135,1,17,0,0,0,30,0,9,1,0,0,0,1,0,0,0,0,395,0,1,396
411,283 M,116,0,134,0,16,2,1,0,57,1,3,0,0,0,0,0,1,0,0,0,331,0,6,337
412,283 A(W,) 103,0,112,0,8,0,0,1,66,0,1,1,0,0,0,0,0,1,0,0,293,0,3,296
413,284 M,123,0,128,0,20,0,0,0,65,0,0,0,0,0,0,1,0,0,0,0,337,0,2,339
414,284 A(W,) 132,1,105,1,9,0,0,1,77,0,0,0,0,0,0,0,1,1,1,0,329,0,3,332
415,285 M,134,2,99,0,17,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,273,0,2,275
416,285 A(W,) 116,1,105,0,8,1,0,0,27,0,0,0,0,0,0,1,1,0,0,0,260,0,6,266
417,286 M,113,0,102,0,26,0,0,0,63,0,2,0,1,0,0,0,0,0,0,0,307,0,3,310
418,286 A(W,) 101,0,95,1,10,0,0,0,72,0,0,0,0,0,0,0,3,0,0,0,282,0,2,284
419,287 M,150,0,128,0,25,3,0,0,65,0,7,0,1,0,1,0,1,0,0,0,381,0,3,384
420,287 A(W,) 111,1,121,0,16,1,0,0,74,0,6,3,0,0,2,0,4,0,1,1,341,0,7,348
421,288 M,146,0,114,0,33,1,0,0,62,0,7,0,0,0,0,0,1,0,0,0,364,0,3,367
422,288 A(W,) 111,1,102,1,15,4,0,0,67,0,3,1,2,0,0,0,2,0,0,0,309,0,1,310
423,289,197,1,185,0,37,0,0,0,53,0,2,0,0,0,0,1,1,0,1,0,478,0,4,482
424,290,174,0,179,0,20,0,0,0,70,0,3,0,0,0,0,0,0,0,0,0,446,0,2,448
425,291 M,102,1,118,0,18,2,0,1,62,0,0,0,0,0,0,0,0,0,0,0,304,0,5,309
426,291 A(W,) 84,0,98,0,6,0,0,0,61,0,2,0,0,0,0,1,4,4,1,0,261,0,1,262
427,292 M,131,0,99,0,26,0,0,1,50,0,2,0,0,0,0,0,0,0,0,0,309,0,1,310
428,292 A(W,) 137,1,78,0,7,0,0,0,55,0,0,0,1,0,0,0,0,1,0,0,280,0,1,281
429,293 M,138,0,153,1,44,2,0,1,59,0,2,0,0,0,0,1,1,1,0,0,403,0,6,409
430,293 A(W,) 155,0,164,1,19,0,0,1,68,0,1,0,0,0,0,0,1,1,0,0,411,0,3,414
431,294 M,126,0,82,1,34,0,0,0,66,0,8,1,0,0,0,0,1,0,0,0,319,0,5,324
432,294 A(W,) 106,0,104,0,15,2,0,0,41,0,6,0,0,0,0,2,1,1,0,0,278,0,1,279
433,295 M,151,0,106,0,37,2,0,0,54,0,4,1,0,0,0,0,0,0,0,0,355,0,1,356
434,295 A(W,) 130,1,137,2,26,1,0,0,46,0,6,0,0,0,0,0,0,0,0,0,349,0,4,353
435,296 M,129,0,89,0,12,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,260,0,5,265
436,296 A(W,) 130,0,88,0,7,2,0,0,44,0,0,0,0,0,0,0,0,0,0,0,271,0,2,273
437,297,359,1,210,2,47,4,0,2,31,0,1,1,0,0,0,2,7,0,5,0,672,0,5,677
438,298,372,1,160,0,29,3,0,0,37,0,1,0,0,0,1,5,1,0,0,0,610,0,1,611
439,299,372,1,130,0,46,1,0,0,22,0,1,1,0,0,0,0,1,0,0,0,575,0,2,577
440,300 M,163,0,128,1,44,2,0,0,50,0,2,0,0,0,1,0,2,1,0,0,394,0,3,397
441,300 A(W,) 155,2,137,0,25,1,0,1,57,0,2,1,0,0,1,1,0,0,0,0,383,0,5,388
442,301,250,0,148,0,36,1,0,0,58,0,4,1,0,0,1,0,0,0,1,0,500,0,4,504
443,302,194,0,110,0,36,3,1,0,46,0,2,0,0,0,0,0,0,0,0,0,392,0,6,398
444,303,199,0,190,1,19,0,0,0,96,1,1,1,0,0,0,0,0,0,0,0,508,0,2,510
445,304 M,176,0,125,0,25,0,0,0,68,0,11,1,0,0,0,0,0,0,0,0,406,0,4,410
446,304 A(W,) 144,1,123,2,21,1,0,0,83,0,3,0,0,0,0,0,0,2,0,0,380,0,3,383
447,305,122,0,155,0,13,0,0,1,73,0,7,1,0,0,0,0,1,0,0,0,373,0,6,379
448,306,148,0,155,0,31,3,0,0,41,0,3,1,0,0,0,0,0,0,0,0,382,0,3,385
449,307,161,5,167,1,17,2,0,0,77,0,2,1,0,0,0,0,0,0,0,0,433,0,10,443
450,308,99,0,148,0,8,2,0,0,74,0,0,3,0,0,0,0,0,0,0,0,334,0,1,335
451,309,189,2,175,1,15,0,0,0,71,0,0,0,0,1,0,0,1,0,0,0,455,0,5,460
452,310 M,123,0,116,0,25,0,0,0,62,0,4,0,0,0,0,0,2,0,0,0,332,0,5,337
453,310 A(W,) 119,0,104,0,15,0,0,0,56,0,6,0,0,0,1,0,3,1,0,1,306,0,2,308
454,311 M,144,0,90,0,21,2,0,0,56,0,4,0,0,0,0,0,0,1,0,0,318,0,10,328
455,311 A(W,) 134,1,99,0,16,0,0,0,59,0,2,1,0,0,0,1,3,1,0,0,317,0,5,322
456,312 M,91,1,105,0,11,0,0,0,35,0,0,0,0,0,1,0,0,0,0,0,244,0,5,249
457,312 A(W,) 84,1,93,0,3,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0,218,0,1,219
458,313,135,0,165,0,8,1,0,0,86,0,7,1,1,0,1,0,8,1,0,0,414,0,8,422
459,314 M,110,0,94,0,10,1,0,0,58,0,1,0,0,0,0,0,0,0,0,0,274,0,4,278
460,314 A(W,) 84,1,83,1,5,1,0,0,50,0,2,0,0,1,0,0,1,0,0,0,229,0,2,231
461,315 M,117,1,152,0,14,0,0,0,48,0,4,0,0,0,0,0,0,1,0,0,337,0,6,343
462,315 A(W,) 84,0,126,2,9,0,0,0,61,0,3,0,0,0,0,0,2,0,0,0,287,0,2,289
463,316 M,99,0,105,0,15,0,0,0,54,0,2,0,0,0,1,0,1,0,0,0,277,0,3,280
464,316 A(W,) 92,0,94,1,5,1,0,0,49,0,1,1,0,0,0,0,0,0,0,1,245,0,1,246
465,317 M,148,0,134,0,15,1,0,0,57,0,4,0,0,0,0,0,0,0,0,0,359,0,1,360
466,317 A(W,) 135,0,131,1,10,0,0,0,62,0,4,0,0,1,0,0,0,0,0,0,344,0,4,348
467,318 M,102,0,134,0,8,3,0,1,53,0,2,0,0,0,0,0,0,0,0,0,303,0,3,306
468,318 A(W,) 103,1,116,0,6,0,1,1,52,0,2,0,0,0,0,0,0,0,0,0,282,0,2,284
469,319 M,114,0,141,0,15,0,0,1,56,0,3,0,0,1,0,0,0,0,0,0,331,0,4,335
470,319 A(W,) 105,0,120,1,12,1,0,0,57,0,2,0,0,0,0,0,2,0,0,0,300,0,0,300
471,320 M,127,1,128,0,16,0,0,1,53,0,1,0,0,0,0,0,1,0,0,0,328,0,4,332
472,320 A(W,) 113,0,112,0,13,1,0,2,63,0,0,0,0,0,0,0,1,1,0,0,306,0,3,309
473,321 M,126,0,114,0,23,0,0,0,46,0,1,0,0,0,0,0,1,0,0,0,311,0,5,316
474,321 A(W,) 103,0,103,0,6,0,0,0,49,0,1,0,0,0,0,0,1,1,0,1,265,0,3,268
475,322,167,1,161,0,22,3,0,2,53,0,3,1,0,0,0,1,1,0,0,0,415,0,2,417
476,323,174,1,154,1,25,4,0,1,49,0,7,0,0,0,0,0,3,1,0,0,420,0,9,429
477,324,220,1,202,0,42,1,0,0,64,0,5,0,0,0,0,1,1,1,0,0,538,0,3,541
478,325,140,0,149,1,14,1,0,1,84,0,1,1,0,0,0,0,0,1,0,0,393,0,6,399
479,326,103,0,194,1,13,2,1,1,108,0,0,0,0,0,0,0,0,0,0,0,423,0,8,431
480,327,126,1,153,1,19,2,0,0,90,1,3,0,0,0,0,0,1,0,0,0,397,0,6,403
481,328,227,0,168,2,25,2,0,0,117,0,2,11,0,0,0,0,2,0,0,0,556,0,5,561
482,329 M,152,0,112,0,35,1,0,0,36,0,2,0,0,0,0,0,0,0,0,0,338,0,6,344
