Sl. No,Polling Station No,NACHIMUTHU S Samaj Party) (Bahujan,MOORTHI.K SIVABALA Mahasabha) Bharat Hindu (Akhil,THANGAVEL.B Party) India (My,POOVENDHAN .T Needhi Maiam) (Makkal,RAJASEKARAN VINOTH .G Tamilar Katchi) (Namm,AZHAGUMALA I.A (Independent,ANANTHAN S.P (Independent),KARUPPUSAM Y.P (Independent),KALIAPPAN.K (Independent),HAMEED SHAHUL (Independent),GOUNDER.P SAMIAPPA (Independent),SIDDIQ.M (Independent),SUDHA.R.B (Independent),SURESH.M (Independent),THANGAVEL.A (Independent),NAGENDRAN. G (Independent),PANDEESWAR AN.M (Independent),PERIYADURAI. M (Independent),MUNISHRAJA. M (Independent),SAHABUDEEN RASULBEEVI (Independent),LATHIKA (Independent),Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes
38,30,312,3,185,2,0,14,14,6,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,542,0,1,543,0
39,31,293,2,176,2,1,12,12,16,0,0,1,0,0,0,1,2,3,0,1,1,5,0,0,0,528,0,1,529,0
40,32,359,6,352,2,1,8,22,6,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,761,0,4,765,0
41,33 M,232,7,193,1,0,14,19,7,0,0,0,0,1,1,0,2,3,0,0,0,0,0,0,1,481,0,4,485,0
42,33A(W),277,7,190,1,1,15,6,1,0,1,1,0,0,2,1,2,0,0,0,0,1,0,1,2,509,0,5,514,0
43,34,537,0,40,0,0,5,14,14,0,0,0,0,1,0,1,3,1,0,0,0,0,1,2,0,619,0,2,621,0
44,35,327,2,158,0,0,4,13,2,0,0,0,0,0,1,0,1,5,0,2,0,1,0,0,0,516,0,2,518,0
45,36,383,2,164,0,0,6,12,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,2,581,0
46,37 M,299,2,122,0,0,6,12,11,0,0,0,0,2,0,1,0,2,0,1,2,0,0,0,0,460,0,3,463,0
47,37A(W),304,2,162,2,0,3,6,10,0,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,497,0,3,500,0
48,38,311,0,29,1,0,12,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,362,0
49,39,116,1,71,0,1,1,2,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,198,0,0,198,0
50,40,442,0,41,0,0,3,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,511,0,1,512,0
51,41,495,1,158,1,0,13,20,11,0,0,1,0,0,1,1,3,1,1,0,1,0,1,0,0,709,0,1,710,0
52,42,214,1,264,4,0,9,17,6,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,520,0,5,525,0
53,43,216,2,232,1,0,22,11,10,0,1,0,0,1,0,0,2,2,0,0,0,0,5,0,0,505,0,8,513,0
54,44,276,0,146,2,0,7,35,7,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,478,0,0,478,0
55,45,311,0,197,1,0,12,42,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,569,0,0,569,0
56,46 M,193,1,149,1,0,15,29,9,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,401,0,3,404,0
57,46A(W),195,0,151,0,0,12,9,6,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,377,0,1,378,0
58,47,267,3,308,4,1,11,34,6,0,2,1,0,0,3,0,2,3,0,3,0,0,0,0,1,649,0,3,652,0
59,48 M,261,0,146,1,0,7,25,7,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,451,0,3,454,0
60,48A(W),245,1,191,1,0,10,8,1,1,0,0,0,0,0,0,2,2,0,2,0,0,0,1,0,465,0,3,468,0
61,49,437,2,267,4,0,2,15,5,0,0,0,0,0,3,2,3,5,1,2,0,0,0,0,0,748,0,3,751,0
62,50,260,1,452,0,0,6,38,8,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,769,0,0,769,0
63,51,314,1,357,2,2,5,10,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,708,0,3,711,0
64,52,415,1,247,1,0,0,23,11,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,701,0,3,704,0
